,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,-5.440092820663267e-15,-0.0047879127890988055,-0.010164489976746094,-0.011387258669140567,0.006649673334338406,0.01738231174698187,0.009998160672006168,0.019250258266475792,-0.011166265078813173,0.010245226472125907,0.007076675091498257,-0.0038274526348279214,0.002556166091052813,-0.017154862507830455,-0.010343868026930852,-0.024567676390744135,-0.01703282423624544,0.0036830704365145104
AGEP,-0.0047879127890988055,-1.5543122344752192e-15,-0.006435121164907881,-0.011212962629994723,-0.008418686373456663,0.01679943328248021,0.015975375535656977,0.013518025704216674,-0.013678362933083207,0.015875448319715397,-0.012117923620682133,-0.00568529364748277,0.002687437782084301,-0.02088454859161684,-0.013490960964377297,-0.023861126870263205,-0.015198910668180965,-0.0001316266168175928
SEX,-0.010164489976746094,-0.006435121164907881,-5.10702591327572e-15,-0.0010222944348584236,-0.003811853312898371,-0.0082602542795354,0.003783336519981202,-0.0038867447143843825,-0.004964142020079752,-0.012214449741145484,-0.003003530863462351,0.004865008162512799,-0.0019538495283026036,0.02427146544075859,-0.006181803536756984,-0.0019247102768431305,-0.004215420603555408,-0.007288057766616219
MSP,-0.011387258669140567,-0.011212962629994723,-0.0010222944348584236,-3.885780586188048e-15,0.012507613798491371,0.019882088591218167,-0.008235361081726622,0.00036362087621383266,0.01627009222570991,-0.023881245532061127,0.004399608610872574,-0.0007221845184838815,0.00188719326608483,0.023209041700397635,-0.007232774876694215,-0.013339542987718778,-0.00660279534706807,-0.006590514858752505
HISP,0.006649673334338406,-0.008418686373456663,-0.003811853312898371,0.012507613798491371,0.0,-0.0022951961876812588,0.007134449992625892,0.006522078466543808,0.0005245688593464373,0.018831687193653822,-0.02744967704654197,0.03222089119382869,0.011680549423681671,0.009232359011413241,0.007511851216438298,0.016519756916981695,0.009082460065746149,0.007309906926812649
RAC1P,0.01738231174698187,0.01679943328248021,-0.0082602542795354,0.019882088591218167,-0.0022951961876812588,-1.3322676295501878e-15,-0.012034429727025675,0.0044201793816657925,0.01084430864768382,-0.008518714168720812,0.0125496326763542,0.028717287064074476,0.03972127415179704,0.020333210675564893,0.02063324798703139,0.028500385523356885,-0.03188232389520014,-0.007929971523825984
NOC,0.009998160672006168,0.015975375535656977,0.003783336519981202,-0.008235361081726622,0.007134449992625892,-0.012034429727025675,0.0,-0.0012657600475995956,-0.012288185924878237,0.010475403336417749,-0.003221273982191547,0.004337007399182857,0.005162357784073007,0.012531322735101783,-0.0004937577405957072,0.006124050311020229,-0.008811487846950045,-0.0032040915047358842
NPF,0.019250258266475792,0.013518025704216674,-0.0038867447143843825,0.00036362087621383266,0.006522078466543808,0.0044201793816657925,-0.0012657600475995956,0.0,-0.008783091380663799,0.015885568877812326,-0.0024811956591115347,0.01905263908968513,0.020342236227444882,0.012674676878684073,0.0065925174778374285,0.014130885552344222,0.026410833798514777,0.003169393512235455
HOUSING_TYPE,-0.011166265078813173,-0.013678362933083207,-0.004964142020079752,0.01627009222570991,0.0005245688593464373,0.01084430864768382,-0.012288185924878237,-0.008783091380663799,0.0,-0.009836993770235614,-0.0010892296651998814,0.005016642344254224,0.000523409486466897,-0.002975357270604509,-0.0016180502538986272,-0.004790955235788979,-0.007962911967984543,-0.012872714821792568
OWN_RENT,0.010245226472125907,0.015875448319715397,-0.012214449741145484,-0.023881245532061127,0.018831687193653822,-0.008518714168720812,0.010475403336417749,0.015885568877812326,-0.009836993770235614,-2.020605904817785e-14,-0.006984792246813927,0.013113458030941359,0.0062594150319672665,0.005428375827914602,0.020018436700254095,0.013658542504223244,0.010214728896559153,0.018846171622201008
INDP_CAT,0.007076675091498257,-0.012117923620682133,-0.003003530863462351,0.004399608610872574,-0.02744967704654197,0.0125496326763542,-0.003221273982191547,-0.0024811956591115347,-0.0010892296651998814,-0.006984792246813927,1.0880185641326534e-14,-0.0074011815147163595,-0.014286304749613787,0.01745394716571098,-0.0020881601586010823,-0.0007075380010408971,-0.002298672378838601,-0.0042644017951569
EDU,-0.0038274526348279214,-0.00568529364748277,0.004865008162512799,-0.0007221845184838815,0.03222089119382869,0.028717287064074476,0.004337007399182857,0.01905263908968513,0.005016642344254224,0.013113458030941359,-0.0074011815147163595,0.0,-0.015359052791742434,0.004565037207132864,-0.015923717172879437,-0.019053899298813848,-0.012106578384621643,-0.01667714894699876
PINCP_DECILE,0.002556166091052813,0.002687437782084301,-0.0019538495283026036,0.00188719326608483,0.011680549423681671,0.03972127415179704,0.005162357784073007,0.020342236227444882,0.000523409486466897,0.0062594150319672665,-0.014286304749613787,-0.015359052791742434,9.992007221626409e-16,0.0025040147908185,-0.007286763187322576,-0.013075865943999732,-0.004379026029880179,-0.018592312659402623
DVET,-0.017154862507830455,-0.02088454859161684,0.02427146544075859,0.023209041700397635,0.009232359011413241,0.020333210675564893,0.012531322735101783,0.012674676878684073,-0.002975357270604509,0.005428375827914602,0.01745394716571098,0.004565037207132864,0.0025040147908185,-1.887379141862766e-15,0.009860813416241516,0.007747736724141354,0.013165058650664568,0.004432081835683652
DREM,-0.010343868026930852,-0.013490960964377297,-0.006181803536756984,-0.007232774876694215,0.007511851216438298,0.02063324798703139,-0.0004937577405957072,0.0065925174778374285,-0.0016180502538986272,0.020018436700254095,-0.0020881601586010823,-0.015923717172879437,-0.007286763187322576,0.009860813416241516,-8.548717289613705e-15,-0.002161784414022705,-0.019736987995055934,-0.00859243685220605
DPHY,-0.024567676390744135,-0.023861126870263205,-0.0019247102768431305,-0.013339542987718778,0.016519756916981695,0.028500385523356885,0.006124050311020229,0.014130885552344222,-0.004790955235788979,0.013658542504223244,-0.0007075380010408971,-0.019053899298813848,-0.013075865943999732,0.007747736724141354,-0.002161784414022705,-2.55351295663786e-15,0.00010911663164076685,-0.005530863204973757
DEYE,-0.01703282423624544,-0.015198910668180965,-0.004215420603555408,-0.00660279534706807,0.009082460065746149,-0.03188232389520014,-0.008811487846950045,0.026410833798514777,-0.007962911967984543,0.010214728896559153,-0.002298672378838601,-0.012106578384621643,-0.004379026029880179,0.013165058650664568,-0.019736987995055934,0.00010911663164076685,6.8833827526759706e-15,-0.02162887032771188
DEAR,0.0036830704365145104,-0.0001316266168175928,-0.007288057766616219,-0.006590514858752505,0.007309906926812649,-0.007929971523825984,-0.0032040915047358842,0.003169393512235455,-0.012872714821792568,0.018846171622201008,-0.0042644017951569,-0.01667714894699876,-0.018592312659402623,0.004432081835683652,-0.00859243685220605,-0.005530863204973757,-0.02162887032771188,7.993605777301127e-15
