,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,4.440892098500626e-16,-0.018698912008782747,0.047925610553433404,-0.08638425984864748,-0.02713475678410948,-0.06720085604069442,0.21650001848345835,0.1696567835563078,,
SEX,-0.018698912008782747,0.0,0.00010094155094462175,-0.021491900764084602,0.01630252096505829,-0.018802753069193764,-0.006212199301129651,-0.015538768023603655,,
MSP,0.047925610553433404,0.00010094155094462175,0.0,-0.13887957215879732,0.03347518118935899,0.03242240987717298,0.07950125714256484,0.04300828957411945,,
RAC1P,-0.08638425984864748,-0.021491900764084602,-0.13887957215879732,-2.220446049250313e-15,-0.008936804634986716,-0.02401471496983895,-0.09395893391661742,-0.08274760492627964,,
HOUSING_TYPE,-0.02713475678410948,0.01630252096505829,0.03347518118935899,-0.008936804634986716,4.551914400963142e-15,0.04746720638884838,0.042955371433307146,0.007139250883430315,,
OWN_RENT,-0.06720085604069442,-0.018802753069193764,0.03242240987717298,-0.02401471496983895,0.04746720638884838,3.774758283725532e-15,-0.07671956589856863,-0.06373311959096431,,
EDU,0.21650001848345835,-0.006212199301129651,0.07950125714256484,-0.09395893391661742,0.042955371433307146,-0.07671956589856863,1.1102230246251565e-15,0.1329985613500293,,
PINCP_DECILE,0.1696567835563078,-0.015538768023603655,0.04300828957411945,-0.08274760492627964,0.007139250883430315,-0.06373311959096431,0.1329985613500293,-8.881784197001252e-16,,
DVET,,,,,,,,,,
DEYE,,,,,,,,,,
