,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,0.0,-0.04967884515713991,0.023951754639122417,0.10567636512906836,0.14129556303783608,-0.03946019784544244,0.09823993999687564,0.06715201906171096,0.3108325685261808,0.04137241975925454
AGEP,-0.04967884515713991,-1.5543122344752192e-15,-0.04393432966324751,0.079411349411637,-0.0724356882213433,-0.039968910135316754,-0.21679083749483175,-0.295703172391898,-0.16982924881293782,0.09819751876026817
SEX,0.023951754639122417,-0.04393432966324751,3.774758283725532e-15,0.06262579943423466,-0.0026353189878652525,-0.013819875682144081,-0.04178759033863114,-0.05440627858112606,-0.019760991208805062,-0.05840807493572232
MSP,0.10567636512906836,0.079411349411637,0.06262579943423466,1.1102230246251565e-14,0.19443254765428614,0.13646702909918298,0.27004745798054286,0.5117756111997773,0.16921569198687567,-0.06547798849208848
HISP,0.14129556303783608,-0.0724356882213433,-0.0026353189878652525,0.19443254765428614,0.0,0.09750160526716092,-0.0017762764816355034,-0.02057799194284464,0.21201210735174025,-0.0012212882959196092
RAC1P,-0.03946019784544244,-0.039968910135316754,-0.013819875682144081,0.13646702909918298,0.09750160526716092,8.548717289613705e-15,-0.05537071159122541,-0.041151792958761785,0.0824228753218334,0.01233749015505009
NOC,0.09823993999687564,-0.21679083749483175,-0.04178759033863114,0.27004745798054286,-0.0017762764816355034,-0.05537071159122541,3.552713678800501e-15,0.003552189646827797,-0.24258390166421173,-0.09395646058976628
NPF,0.06715201906171096,-0.295703172391898,-0.05440627858112606,0.5117756111997773,-0.02057799194284464,-0.041151792958761785,0.003552189646827797,0.0,-0.10004064222969927,-0.09834457875157665
OWN_RENT,0.3108325685261808,-0.16982924881293782,-0.019760991208805062,0.16921569198687567,0.21201210735174025,0.0824228753218334,-0.24258390166421173,-0.10004064222969927,-1.3322676295501878e-15,-0.18247057200088668
PINCP_DECILE,0.04137241975925454,0.09819751876026817,-0.05840807493572232,-0.06547798849208848,-0.0012212882959196092,0.01233749015505009,-0.09395646058976628,-0.09834457875157665,-0.18247057200088668,-1.9984014443252818e-15
