PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,index_col
26-02702,34,1,2,0,1,N,N,3,0,4062.6,N,N,3,2000.0,3,N,N,1,2,2,2,59,5,109022
40-00200,16,2,6,0,2,1,3,1,1,3692.5,N,N,4,0.0,0,0,N,2,2,2,2,332,275,109023
38-00100,3,2,N,0,1,6,9,1,1,43.6,N,N,3,N,N,241,N,N,N,2,2,172,196,109024
38-00100,33,1,4,0,1,1,2,1,1,98.8,8090,12,8,72000.0,9,501,N,2,2,2,2,297,90,109025
13-04600,36,1,6,0,2,0,N,1,2,3735.6,8680,6,9,2500.0,4,82,N,2,2,2,2,224,127,109026
40-00200,2,2,N,0,1,3,5,1,1,11146.9,N,N,2,N,N,321,N,N,N,2,2,203,66,109027
38-00100,59,1,6,0,1,1,3,1,1,140.8,6870,7,7,45000.0,9,501,N,2,2,2,2,164,193,109028
06-07502,85,1,2,0,1,N,N,2,0,4155.3,7580,N,7,16000.0,3,0,N,2,2,2,2,76,1,109029
38-00100,13,2,N,0,1,6,9,1,1,154.0,N,N,3,N,N,83,N,N,2,2,2,170,169,109030
24-01004,48,1,1,0,6,1,2,1,1,3881.9,3390,17,8,5700.0,9,501,N,2,2,2,2,54,54,109031
36-03710,38,1,6,4,8,0,3,1,1,52864.7,8561,N,9,9600.0,1,130,N,2,2,2,2,98,63,109032
38-00100,12,1,N,0,1,6,9,1,1,37.1,N,N,3,N,N,43,N,N,N,2,2,252,227,109033
40-00200,65,2,3,0,1,N,N,3,0,105.9,N,N,3,9600.0,3,91,N,2,1,2,1,14,0,109034
17-03529,59,2,6,0,2,1,5,1,1,15005.0,4690,N,4,32000.0,0,3,N,2,2,2,2,94,130,109035
36-03710,50,1,3,0,2,2,2,1,1,33917.5,8191,9,3,3000.0,9,266,N,2,2,2,2,173,104,109036
38-00100,62,2,1,0,1,0,2,1,1,4618.4,N,12,5,59000.0,0,501,N,2,2,2,2,107,217,109037
36-03710,46,1,6,4,2,1,5,1,2,52571.9,N,N,8,N,0,55,N,1,2,2,2,210,67,109038
06-07502,32,1,6,0,2,0,N,1,2,15317.5,2770,N,8,23000.0,2,245,N,2,2,2,2,174,214,109039
13-04600,66,2,1,0,2,0,2,1,1,4359.0,3570,11,9,70000.0,4,295,N,2,2,2,2,124,104,109040
38-00100,59,1,2,0,1,0,5,1,1,42.0,7580,3,8,52000.0,6,9,N,2,1,2,1,129,112,109041
30-00600,87,2,3,0,1,N,N,2,0,192.7,N,N,3,2500.0,2,375,N,2,1,2,2,23,102,109042
26-02702,60,2,6,0,1,N,N,3,0,5477.0,N,N,3,1300.0,2,N,N,2,1,2,2,78,0,109043
28-01100,18,1,6,0,2,0,N,1,2,3400.3,7290,6,7,53000.0,4,438,N,2,2,2,2,159,248,109044
29-01901,34,2,1,0,3,0,2,1,2,4456.9,N,N,7,68000.0,4,501,N,2,2,2,2,119,287,109045
13-04600,51,1,4,0,2,0,2,1,2,3695.1,2170,4,8,9300.0,2,156,N,2,2,2,2,158,63,109046
13-04600,61,2,3,0,2,0,N,1,2,3660.3,9690,6,9,10200.0,4,61,N,2,1,2,2,135,102,109047
40-00200,60,2,1,0,1,2,4,1,1,94.3,7860,6,9,15600.0,6,373,N,2,2,2,2,31,163,109048
36-03710,42,1,1,0,2,0,6,1,2,52864.7,6170,12,7,3000.0,9,7,N,2,2,2,2,431,243,109049
06-07502,35,2,4,4,6,1,N,1,2,34229.3,3770,14,9,17000.0,6,36,N,2,2,2,2,121,108,109050
28-01100,22,1,4,0,2,N,N,3,0,3783.2,370,9,7,57000.0,5,150,N,2,2,2,2,82,0,109051
28-01100,22,2,6,0,2,0,N,1,1,3647.8,7860,6,8,9000.0,5,316,N,2,2,2,2,205,244,109052
24-01004,17,1,3,0,1,0,2,1,2,4695.1,7290,6,9,18500.0,8,109,N,2,2,2,2,101,141,109053
30-00600,63,2,3,0,1,N,N,2,0,107.3,N,N,7,1500.0,4,N,N,2,2,2,1,20,0,109054
13-04600,64,2,6,0,2,0,2,1,1,3757.4,6380,6,10,1300.0,4,1,N,2,2,2,2,206,143,109055
17-03529,25,2,6,0,2,0,N,1,2,15295.3,N,N,5,22000.0,2,0,N,2,1,2,2,266,423,109056
17-03531,24,2,6,0,2,0,12,1,2,11255.1,8570,N,4,12000.0,2,452,N,2,2,2,2,295,258,109057
38-00100,32,2,6,0,1,0,N,1,1,3538.8,8680,6,9,50000.0,2,501,N,2,2,2,2,37,67,109058
19-01700,35,2,6,1,1,0,N,1,2,3680.1,3680,9,5,27600.0,1,335,N,2,2,2,2,59,55,109059
19-01700,34,2,6,0,6,0,N,1,2,3541.0,3365,10,9,3000.0,7,501,N,2,2,2,2,121,79,109060
19-01700,60,1,4,0,1,0,2,1,1,3568.0,5080,9,4,27600.0,3,495,N,2,2,2,2,113,48,109061
36-03710,33,1,1,1,1,1,2,1,2,3750.5,7780,13,4,22300.0,3,399,N,2,2,2,2,55,56,109062
13-04600,69,2,1,0,2,0,7,1,1,3483.0,8891,14,5,1400.0,4,105,N,2,2,2,2,219,257,109063
08-00803,37,2,2,0,3,0,2,1,2,3378.0,8191,3,8,80000.0,9,501,N,2,2,2,2,102,124,109064
26-02702,33,2,1,0,1,1,2,1,1,4929.9,7870,11,12,500.0,8,501,N,2,2,2,2,110,71,109065
24-01004,21,2,1,0,2,2,6,1,1,3577.0,7290,14,4,10000.0,4,438,N,1,2,2,2,29,96,109066
38-00100,84,1,1,0,1,0,2,1,1,111.1,N,N,5,56000.0,9,139,1,2,2,1,1,44,174,109067
24-01004,24,2,3,0,2,0,N,1,1,3357.6,170,11,9,32000.0,9,61,N,2,2,1,2,137,174,109068
