,Target samples,Deid. samples
0,30,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,148,9
7,0,0
8,0,0
9,0,0
10,2005,234
11,33,4
12,0,0
13,349,54
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,744,176
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,9754,3464
27,16,6
28,0,0
29,0,0
30,0,0
31,111,51
32,71,34
33,3175,1531
34,0,0
35,0,0
36,0,0
37,947,562
38,3081,1882
39,0,0
40,241,162
41,0,0
42,0,0
43,3204,2383
44,892,698
45,0,0
46,0,0
47,0,0
48,272,251
49,0,0
50,26,26
51,0,0
52,0,0
53,221,248
54,0,0
55,0,0
56,267,334
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,75,134
65,0,0
66,0,0
67,1,2
68,976,2070
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,13,37
75,0,0
76,134,436
77,39,134
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,166,814
84,0,0
85,24,136
86,0,0
87,0,0
88,90,638
89,32,256
90,0,0
91,0,0
92,0,0
93,0,0
94,94,1391
95,0,0
96,0,0
97,5,143
98,6,258
99,11,8695
