,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.1102230246251565e-16,0.09433803035591315,0.011586233688231648,-0.047148486789782916,-0.0934643345563815,0.04125881903192294,-0.09049716737635721,-0.13162066537567008,-0.08888007923925283,-0.03384741728680071,0.01144554600137243,0.034567761771206545,0.11831139685888001,0.12644988934390475,0.021982697622853577,0.11969558089240606,0.15248187290564827,0.09609777365126584,0.03757113857743215
AGEP,0.09433803035591316,0.0,-0.03917532258313863,-0.0008286945167412518,-0.022302855233072266,0.039468946526565914,0.11010677811282138,0.04819322494652528,-0.09276789737605862,0.12325107279860972,0.054399938271273554,-0.08831058735443865,-0.0912139730573665,-0.08058960405877852,0.0744329983000436,-0.07253020674415903,-0.12426802173336496,-0.10621690613130991,0.030423407465694496
SEX,0.011586233688231648,-0.039175322583138626,0.0,0.04235543800475193,-0.03055556432666271,0.03617049590079026,-0.0716603989768295,-0.004364784388369333,0.0302347395203142,-0.03768021912135154,-0.08152615989396175,0.07340861492711506,0.030964381127604614,0.08554417926593269,-0.07428125701804209,0.1429414787291908,0.19222269618580237,0.08601684079004329,0.0990612578124643
MSP,-0.047148486789782916,-0.0008286945167412796,0.042355438004751944,0.0,0.08134437047070027,0.030910714726284323,-0.03568521948225534,0.06951874895169793,0.07404910965372821,-0.018587977324433035,-0.030546587576636038,-0.026629733230646768,-0.13829084873976988,-0.10108710046259314,-0.03450854859354543,-0.012524223062389678,-0.04355883719093723,-0.03540214940690566,0.003410807620932932
HISP,-0.0934643345563815,-0.022302855233072266,-0.030555564326662704,0.08134437047070027,-1.1102230246251565e-16,0.015507931122049748,-0.0992378694926388,-0.01976612621489654,0.08647129298983355,-0.026580359967162306,-0.13785491801036148,0.11363366697720793,0.049755614270835996,0.017980784181408915,-0.06761405550636863,0.07975798407457024,0.11970363259544418,0.08137859136230173,0.02577389898812351
RAC1P,0.04125881903192294,0.03946894652656591,0.03617049590079026,0.030910714726284327,0.015507931122049748,0.0,-0.02455155677237259,-0.024163322677940562,-0.02139370017462749,0.06795538577502735,-0.05772810216840696,0.07456695718263538,0.07054099143834701,0.087351626293127,-0.00940258072878946,0.07280068315140037,0.08357733194538328,0.01254267587847184,0.0022626450844409687
NOC,-0.0904971673763572,0.11010677811282138,-0.07166039897682949,-0.03568521948225528,-0.09923786949263882,-0.0245515567723726,2.220446049250313e-16,-0.1676650061404174,-0.09920591482470126,0.013906639663594705,0.018084814588989574,0.03404540720733684,0.10375328502843972,0.07198369965971035,-0.0025773030696870057,-0.07345148162846668,-0.021737820226889967,0.04794330853547808,-0.053181873609141006
NPF,-0.13162066537567008,0.04819322494652534,-0.00436478438836934,0.06951874895169788,-0.01976612621489654,-0.024163322677940552,-0.1676650061404174,0.0,0.008551811895185168,0.0402441827615497,-0.06320730934310548,0.021996351600589423,0.0683965113562928,0.0441832782052381,-0.007632364615812404,-0.017822362911401116,0.0588623359967332,0.06974609617520827,-0.007507620030939785
HOUSING_TYPE,-0.08888007923925283,-0.09276789737605862,0.030234739520314198,0.07404910965372824,0.08647129298983357,-0.021393700174627484,-0.09920591482470126,0.008551811895185168,0.0,-0.003176589091284765,-0.09268221389369918,0.10327551472320194,-0.07025551868632368,-0.04062635487585942,-0.04507860191873297,0.13712583374966042,0.09678545400675954,0.01843867615557166,0.0863700966868508
OWN_RENT,-0.03384741728680072,0.12325107279860971,-0.03768021912135154,-0.018587977324433038,-0.026580359967162306,0.06795538577502735,0.013906639663594705,0.0402441827615497,-0.003176589091284765,0.0,-0.01807177871473728,0.007013908723129732,0.054198979278572194,0.08514220257832865,0.03128176247069976,-0.07361442429205442,-0.06211576779830083,-0.03271468719490926,-0.08934768395984709
