,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,-0.029057013761290697,0.026074831871755084,-0.07141729462348576,0.0642448099363876,-0.012721367162873629,0.034643868168828924,0.004208934786789069,-0.037516808544219314,-0.07599618787390061,-0.002100561478700913,-0.15819459459491952,-0.11415700591100739,-0.13456830937125847,0.13751151576451176,-0.09185088114388908,-0.10711203948944768,-0.01206461409168235,0.014313361624609389
AGEP,-0.029057013761290693,0.0,-0.0755509117750184,-0.032093871295171134,0.087768815542773,-0.04223483670874875,0.12469904092580936,0.0981378282917465,-0.04829314345395271,0.10397647282761213,-0.03907931541425378,-0.03549785228076395,-0.0868015925502017,-0.12176967577732395,0.05410369596071947,0.003623955570977999,-0.10840329958505335,-0.0681625970192973,0.07044932587699013
SEX,0.026074831871755088,-0.07555091177501838,0.0,-0.04880526081510324,-0.0418733457384502,0.05030964896324816,0.11664324507486964,0.0894431886044549,-0.12141080991654997,0.08117995061927802,0.13402698925610507,-0.12303693393359144,-0.1229647568147092,-0.0005650623370482832,-0.00954440717567992,-0.07486000246089759,-0.08576296324051716,-9.490914871098516e-05,-0.03297116492591545
MSP,-0.07141729462348578,-0.03209387129517116,-0.04880526081510324,0.0,0.02069677148170297,-0.05698392537565526,0.09256829543409958,0.038232963953999444,0.0015387851799368024,-0.02489030366440002,0.016584740666330755,-0.042219340782756964,-0.07703067808093411,-0.10599727907771501,-0.027833350136748862,0.001377621266979906,-0.10138563913832101,-0.021444612858834318,0.006600797364473852
HISP,0.0642448099363876,0.08776881554277301,-0.0418733457384502,0.02069677148170297,1.1102230246251565e-16,-0.039715082189040046,-0.14709498578626246,-0.1512279753699864,0.17626928407022874,-0.10178807456155839,-0.009662001082829226,0.061606924322122614,0.13053455526458363,0.06022578288942626,0.00035566695229411957,-0.0006797785109051574,0.0064471871392409435,0.041748798446885206,0.0014825063057077106
RAC1P,-0.012721367162873629,-0.042234836708748766,0.05030964896324815,-0.05698392537565525,-0.039715082189040046,-2.220446049250313e-16,0.07958675056835587,0.033726637024474,-0.012896745975156443,0.016002014654922445,-0.016222089811211246,-0.0033827417486211953,-0.07592988881533624,-0.02892501997545402,-0.07698634387305185,-0.08724018908553799,-0.04737675385363995,0.02126927488932831,-0.00888306619370316
NOC,0.034643868168828924,0.1246990409258093,0.11664324507486963,0.09256829543409958,-0.14709498578626248,0.07958675056835587,2.220446049250313e-16,-0.22065638264557047,-0.019108053146979553,-0.021612055853091505,0.055268178097804,0.011949046262174967,0.03530418450481737,0.03854513716038016,-0.04763337753387948,-0.06347954785396401,0.08812166165951801,0.04494222852647091,-0.03956941252524039
NPF,0.004208934786789069,0.0981378282917465,0.08944318860445491,0.03823296395399939,-0.1512279753699864,0.03372663702447401,-0.22065638264557047,1.1102230246251565e-16,-0.02354285490666977,0.054908402074426994,0.0037008572086482464,0.017161268904639634,0.060292853691643916,0.11692150190926157,-0.015376873004773528,-0.04245769929298647,0.15219726823614527,0.0891448808136256,0.0011531580863541613
HOUSING_TYPE,-0.037516808544219314,-0.04829314345395272,-0.12141080991654996,0.0015387851799368024,0.1762692840702287,-0.012896745975156443,-0.01910805314697961,-0.02354285490666977,0.0,0.07565794513794788,-0.05145892818816042,0.1550440782440468,0.026103232685153997,0.03760027152761049,-0.04174230369414871,0.22251591706871512,0.11708477267717515,0.06853909071233977,0.13244070286083742
OWN_RENT,-0.07599618787390061,0.10397647282761213,0.08117995061927802,-0.024890303664400024,-0.10178807456155839,0.01600201465492245,-0.021612055853091477,0.05490840207442699,0.07565794513794788,0.0,-0.05362320448813109,-0.03417063079577709,-0.0029842444326885625,0.001868515670908677,-0.03484037253651958,-0.0737467826830592,-0.11902357055244545,-0.03454226264889306,-0.07414566811827702
DENSITY,-0.0021005614787008575,-0.03907931541425378,0.13402698925610507,0.01658474066633076,-0.009662001082829226,-0.016222089811211274,0.055268178097804016,0.0037008572086482394,-0.051458928188160405,-0.053623204488131085,0.0,-0.05976326446218296,-0.10724839263518735,-0.12572556930406245,0.0912745831719773,-0.06736394660632149,-0.1409627327787081,-0.030144029325563124,-0.018275426775715066
INDP_CAT,-0.15819459459491955,-0.035497852280763936,-0.12303693393359141,-0.04221934078275699,0.0616069243221226,-0.003382741748621196,0.011949046262174967,0.017161268904639634,0.1550440782440468,-0.03417063079577709,-0.05976326446218296,-1.1102230246251565e-16,-0.12181353385006949,-0.06618017911143803,0.054019480849473195,-0.023888596350506303,-0.04946982894661586,0.032327792005723784,-0.03036509264009248
EDU,-0.11415700591100739,-0.0868015925502017,-0.12296475681470917,-0.07703067808093414,0.1305345552645836,-0.07592988881533626,0.0353041845048174,0.060292853691643916,0.026103232685154,-0.0029842444326885625,-0.10724839263518736,-0.1218135338500696,-1.1102230246251565e-16,-0.10266170471531344,0.07658852541653942,-0.05213255741464218,-0.11448442463297,-0.0318973842829245,-0.028457787568134156
PINCP_DECILE,-0.13456830937125844,-0.12176967577732395,-0.0005650623370482832,-0.10599727907771504,0.060225782889426246,-0.02892501997545399,0.03854513716038013,0.11692150190926157,0.037600271527610495,0.001868515670908684,-0.12572556930406245,-0.06618017911143803,-0.10266170471531333,0.0,0.11626925629155165,-0.038990878301167625,-0.06784296829608386,-0.01307869747798671,-0.010440650772531833
DVET,0.13751151576451176,0.05410369596071948,-0.009544407175679934,-0.027833350136748862,0.00035566695229411957,-0.07698634387305185,-0.04763337753387948,-0.015376873004773521,-0.041742303694148726,-0.03484037253651958,0.0912745831719773,0.054019480849473195,0.0765885254165394,0.11626925629155166,2.220446049250313e-16,0.038813941579675215,0.03999129765574681,-0.03407471860355379,0.02438020977558439
DREM,-0.09185088114388906,0.003623955570978027,-0.07486000246089758,0.001377621266979906,-0.0006797785109051609,-0.08724018908553798,-0.06347954785396402,-0.042457699292986484,0.22251591706871512,-0.0737467826830592,-0.06736394660632149,-0.023888596350506275,-0.052132557414642205,-0.0389908783011676,0.038813941579675215,1.1102230246251565e-16,-0.297385171867313,-0.08016958503300711,-0.029603918157279828
DPHY,-0.10711203948944768,-0.10840329958505333,-0.08576296324051716,-0.10138563913832101,0.006447187139240946,-0.047376753853639944,0.08812166165951801,0.15219726823614527,0.11708477267717515,-0.11902357055244545,-0.1409627327787081,-0.04946982894661589,-0.11448442463297002,-0.06784296829608386,0.03999129765574681,-0.297385171867313,0.0,0.06737364892086128,-0.017911449034870686
DEYE,-0.01206461409168235,-0.06816259701929733,-9.490914871098516e-05,-0.021444612858834318,0.0417487984468852,0.02126927488932831,0.04494222852647092,0.08914488081362557,0.06853909071233977,-0.03454226264889306,-0.030144029325563128,0.03232779200572377,-0.0318973842829245,-0.01307869747798671,-0.034074718603553794,-0.08016958503300711,0.06737364892086131,1.1102230246251565e-16,-0.06444598866999288
DEAR,0.014313361624609389,0.07044932587699013,-0.03297116492591545,0.006600797364473852,0.0014825063057077176,-0.00888306619370316,-0.039569412525240405,0.0011531580863541613,0.13244070286083742,-0.07414566811827702,-0.018275426775715066,-0.030365092640092482,-0.028457787568134163,-0.010440650772531833,0.024380209775584374,-0.029603918157279828,-0.017911449034870658,-0.06444598866999282,0.0
