,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,14,2,6,2,1,0,N,2,N,10
1,29,2,N,2,3,2,N,2,7,7
2,22,8,1,1,1,1,N,2,7,7
3,58,1,N,1,1,1,N,2,5,2
4,19,1,6,1,1,2,5,2,2,4
5,1,1,3,2,1,2,N,2,7,5
6,14,1,N,2,1,1,N,2,9,10
7,23,6,2,1,1,1,N,2,5,5
8,52,2,1,2,1,2,N,2,8,10
9,27,1,6,1,1,2,5,1,9,10
10,15,1,1,1,1,2,N,1,9,N
11,33,1,6,1,1,1,N,2,7,7
12,46,2,N,2,1,0,N,2,8,7
13,30,1,1,2,1,1,N,2,5,3
14,33,6,6,2,1,2,N,2,9,10
15,2,2,1,2,3,2,N,1,6,3
16,30,2,1,2,1,2,N,2,2,4
17,53,6,1,2,1,1,N,2,4,7
18,26,1,4,1,1,1,N,2,3,4
19,54,1,1,1,1,1,N,2,6,10
20,10,2,4,2,1,1,N,1,0,10
21,27,2,6,1,1,0,N,2,0,5
22,33,1,6,1,1,0,N,2,1,3
23,68,2,2,2,1,2,N,2,7,10
24,74,6,1,2,1,1,N,2,0,4
25,22,2,1,1,1,2,N,2,2,7
26,38,1,6,2,3,2,N,1,N,4
27,4,3,5,1,1,0,N,2,8,5
28,14,2,N,1,1,1,N,2,0,3
29,10,1,1,2,1,1,N,2,5,10
30,38,1,6,1,1,1,N,2,2,10
31,12,1,6,1,1,1,5,2,0,4
32,10,1,3,1,1,1,N,2,1,7
33,35,1,6,2,1,2,N,1,1,11
34,77,1,1,1,1,1,N,2,7,7
35,6,2,6,1,1,1,N,2,8,9
36,4,1,N,2,1,2,N,2,N,11
37,74,2,6,2,1,1,N,2,1,9
38,24,2,1,2,1,1,5,2,2,10
39,32,1,1,1,1,2,5,2,9,10
40,29,1,6,1,1,2,N,1,9,N
41,4,2,6,2,3,2,N,1,0,3
42,43,1,1,2,1,2,N,2,4,3
43,39,2,1,2,1,1,N,2,0,9
44,44,1,N,1,1,1,N,2,2,5
45,69,1,6,1,1,1,N,2,7,5
46,30,1,6,1,1,2,N,2,N,4
47,66,1,6,2,3,2,N,2,0,8
48,31,3,N,2,1,1,5,2,9,8
49,56,1,6,1,1,1,N,2,7,5
50,66,2,1,1,3,1,N,1,4,7
51,23,1,N,1,1,1,5,1,N,11
52,35,1,6,1,1,1,N,1,2,5
53,27,1,N,2,1,0,N,2,8,7
54,4,1,1,2,3,2,N,2,9,1
55,32,2,6,2,3,2,N,2,2,5
56,48,1,6,2,1,2,N,2,7,9
57,32,1,1,1,1,2,N,1,6,10
58,54,6,1,2,1,1,N,2,5,5
59,62,2,6,2,2,2,N,2,3,10
60,83,2,N,1,3,2,N,1,0,11
61,30,2,1,1,1,1,5,2,N,10
62,14,6,N,1,3,2,N,2,8,5
63,13,1,1,2,1,1,N,2,7,3
64,20,2,1,2,1,1,N,2,N,9
65,29,6,6,2,1,1,N,2,4,10
66,32,2,N,1,1,1,N,2,7,7
67,82,2,N,1,1,2,N,2,1,3
68,44,1,1,2,1,2,N,2,6,11
69,0,3,6,1,3,1,N,2,5,7
70,41,1,6,2,1,2,N,2,9,9
71,13,2,6,2,1,1,N,2,2,8
72,17,1,1,1,1,1,N,2,N,5
73,65,1,3,1,1,2,N,2,6,9
74,25,6,N,1,1,2,N,2,0,6
75,39,1,6,1,1,1,N,2,2,7
76,56,6,1,1,1,2,N,2,7,10
77,57,6,6,2,1,1,N,2,7,8
78,55,1,6,1,1,1,N,1,7,5
79,72,6,6,2,1,2,5,2,0,3
80,19,1,1,2,1,1,N,1,0,7
81,50,1,6,2,1,1,N,2,4,5
82,68,1,6,2,1,1,N,2,1,5
83,71,2,1,2,1,2,N,1,N,5
84,15,8,6,2,1,1,N,2,3,10
85,41,2,6,2,1,2,N,2,9,5
86,46,2,1,2,1,1,N,2,N,10
87,49,2,2,2,1,0,N,2,5,2
88,77,1,6,2,3,2,N,2,4,10
89,52,1,6,2,1,2,N,2,4,10
90,89,2,6,2,1,1,N,2,0,7
91,21,1,5,1,2,0,N,2,3,5
92,69,1,6,2,3,2,N,2,6,5
93,33,2,N,1,1,0,N,2,4,4
94,66,6,6,2,1,1,N,2,3,3
95,54,6,6,2,1,2,N,2,3,10
96,48,2,6,1,1,2,N,2,8,4
97,63,2,4,1,3,1,N,2,0,5
98,80,1,1,2,1,2,N,2,8,7
99,66,2,6,2,3,1,N,2,7,5
100,59,1,4,2,1,2,N,1,3,5
101,53,1,6,2,1,1,N,2,2,10
102,63,1,N,2,3,2,N,2,N,5
103,55,8,6,1,1,1,N,2,0,10
104,77,2,N,2,1,1,N,2,9,3
105,4,2,1,1,1,0,N,2,4,4
106,13,2,6,2,1,1,N,2,2,9
107,64,1,6,2,1,1,N,2,4,9
108,53,1,6,1,1,0,N,1,8,4
109,10,1,N,2,2,2,N,2,8,10
110,18,2,4,2,1,1,N,1,N,9
111,46,1,N,2,1,1,N,1,3,7
112,60,2,6,1,1,1,N,2,8,10
113,41,2,4,2,1,1,5,2,4,3
114,31,1,N,2,1,2,N,2,5,7
115,66,2,N,1,1,2,N,2,8,10
116,45,1,1,2,1,1,N,2,9,11
117,65,1,4,2,1,2,5,2,5,7
118,44,1,N,2,1,1,N,2,2,7
119,15,6,6,1,1,1,N,2,1,7
120,47,1,1,1,1,2,N,2,0,5
121,18,1,1,2,1,1,N,2,7,7
122,9,1,6,1,1,1,5,2,N,4
123,57,1,6,1,1,1,N,2,8,7
124,23,1,6,2,1,2,N,2,0,5
125,35,9,1,2,1,1,N,2,8,7
126,82,1,6,1,1,2,N,2,2,5
127,5,6,N,2,1,1,N,2,3,3
128,50,1,N,1,3,1,N,1,4,5
129,26,1,6,2,1,0,N,2,N,5
130,52,1,6,1,1,2,N,2,3,5
131,53,3,6,1,1,2,N,2,4,7
132,61,6,1,2,1,1,N,2,9,7
133,22,2,6,2,1,2,5,2,2,5
134,53,2,1,1,1,1,N,2,1,7
135,49,1,6,2,1,2,5,2,2,11
136,22,1,4,2,1,1,N,2,2,4
137,54,2,6,1,3,0,N,1,3,10
138,15,2,1,2,1,1,N,2,7,7
139,66,1,4,1,1,2,N,2,N,7
140,57,1,1,2,1,1,N,2,N,9
141,53,1,N,1,1,2,N,2,5,9
142,41,2,1,2,1,2,N,1,2,5
143,36,2,6,2,1,2,N,2,4,8
144,38,2,1,1,1,0,N,2,8,1
145,64,2,N,1,1,2,N,2,5,11
146,31,1,6,2,1,1,N,2,1,10
147,24,1,1,1,3,2,N,2,5,5
148,34,1,N,1,1,2,N,2,3,9
149,70,6,6,2,1,1,N,2,N,7
150,7,2,6,2,1,1,N,2,2,3
151,7,2,1,1,1,1,N,2,2,10
152,58,2,6,1,1,1,N,2,1,1
153,33,1,1,1,1,2,N,2,8,7
154,2,1,6,2,1,1,N,2,2,9
155,82,2,N,2,1,2,N,1,N,10
156,78,1,1,1,1,2,5,2,0,2
157,41,6,1,1,1,2,5,2,N,3
158,22,1,N,2,3,1,N,2,1,3
159,45,2,6,1,1,2,N,2,9,10
160,8,1,N,2,1,2,N,2,0,5
161,40,1,6,2,3,1,N,1,0,10
162,36,2,N,2,1,1,N,2,5,10
163,82,2,6,1,1,2,N,2,4,10
164,42,2,6,2,1,1,N,2,0,3
165,50,1,3,2,3,2,N,2,1,9
166,32,1,6,2,1,0,N,2,9,3
167,47,1,1,2,1,2,N,2,6,11
168,56,2,N,1,1,2,N,2,9,6
169,2,2,6,2,1,1,N,2,0,10
170,75,1,1,2,1,1,N,2,3,8
171,67,1,1,2,1,2,N,2,N,9
172,77,2,1,2,1,2,5,2,0,11
173,8,8,N,1,1,1,N,2,9,10
174,70,1,6,2,3,1,N,1,3,7
175,70,6,6,1,3,2,N,1,N,10
176,67,1,1,2,1,1,N,2,3,9
177,72,2,1,2,1,2,N,2,9,8
178,68,1,6,1,1,1,N,1,0,11
179,32,1,1,2,1,1,N,2,0,3
180,7,2,1,1,1,1,N,1,N,10
181,41,2,5,2,3,2,N,2,8,4
182,57,2,N,1,1,1,N,2,7,7
183,68,2,1,2,1,1,N,2,9,9
184,56,6,N,2,1,1,N,2,8,N
185,49,2,6,1,1,1,5,2,7,8
186,40,2,1,2,1,1,N,2,8,7
187,67,2,1,2,1,2,N,2,6,5
188,27,6,N,1,1,1,N,2,9,4
189,10,2,6,2,1,0,N,2,9,9
190,12,1,N,1,1,2,N,2,3,8
191,15,1,4,2,1,2,N,2,1,7
192,27,1,4,1,1,2,N,2,9,3
193,4,2,4,2,1,2,N,2,7,6
