,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,48-02510,62,2,1,0,1,0,2,1,2,3136.0,14,7,980.0,4,455,N,2,2,2,2
1,48-02101,39,2,6,0,1,0,2,1,1,448.0,N,4,0.0,0,431,N,2,2,2,2
2,48-02507,46,1,1,0,1,3,2,1,1,3904.0,2,5,45300.0,2,339,N,2,2,2,2
3,48-02102,74,2,4,0,8,0,N,1,1,448.0,N,4,0.0,0,501,N,2,2,2,2
4,48-02507,12,1,N,0,1,1,3,1,1,3904.0,N,2,N,N,248,N,2,2,2,2
5,48-02102,65,2,N,0,1,0,4,1,1,448.0,N,3,N,N,109,N,N,N,2,2
6,48-02510,54,1,1,0,1,3,5,1,1,3136.0,15,6,14500.0,7,501,N,2,1,2,2
7,48-02516,61,1,1,0,1,1,3,1,1,1216.0,N,9,0.0,0,57,N,2,2,2,2
8,48-02102,88,2,1,0,2,0,2,1,1,448.0,N,6,0.0,0,480,N,2,2,2,2
9,48-02102,48,2,1,0,1,4,6,1,1,448.0,14,5,27860.0,4,179,N,2,2,2,2
10,48-02510,78,2,N,0,1,2,4,1,1,3136.0,N,3,N,N,495,N,2,1,2,2
11,48-02516,66,1,4,0,1,0,2,1,1,1216.0,3,7,11000.0,8,501,N,2,2,2,2
12,48-02516,80,2,1,1,1,1,2,1,1,1216.0,N,9,19500.0,4,489,N,2,2,2,2
13,48-02515,58,2,1,0,6,3,5,3,1,1984.0,N,2,43900.0,3,301,N,2,2,2,2
14,48-02516,8,1,N,0,1,0,5,1,1,1216.0,N,6,N,N,377,N,2,2,2,2
15,48-02101,86,2,1,1,1,0,2,1,2,448.0,N,7,0.0,0,448,N,2,2,2,2
16,48-02101,8,1,1,1,8,0,5,1,1,448.0,N,7,0.0,0,400,N,2,2,2,2
17,48-02507,32,1,1,0,1,1,2,1,2,3904.0,9,5,38400.0,4,374,N,2,2,2,2
18,48-02507,47,2,1,0,6,2,5,1,2,1216.0,N,5,303700.0,6,158,N,2,2,2,2
19,48-02510,60,2,N,0,1,2,4,1,1,3136.0,N,3,N,N,31,N,2,2,2,2
20,48-02101,56,1,1,0,1,0,4,1,2,448.0,4,7,407900.0,6,122,N,2,2,2,2
21,48-02507,10,1,1,0,1,5,6,1,1,3904.0,4,5,32300.0,2,179,N,2,2,1,2
22,48-02102,44,1,2,0,1,0,N,1,1,448.0,9,9,18330.0,9,501,N,2,2,2,2
23,48-02510,58,1,1,0,1,0,4,1,2,3136.0,9,7,80200.0,5,63,N,2,2,2,2
24,48-02507,88,1,1,1,1,0,2,1,1,3904.0,7,8,75300.0,4,341,N,2,2,2,2
25,48-02102,61,2,1,0,1,0,2,1,1,448.0,12,3,44700.0,5,501,N,2,2,2,2
26,48-02515,23,1,1,0,2,0,3,1,1,1984.0,7,7,2170.0,8,501,N,2,2,1,2
27,48-02101,30,1,N,0,6,1,4,1,1,448.0,N,3,N,N,322,N,N,N,2,2
28,48-02516,32,2,1,0,1,0,2,1,1,1216.0,13,5,51800.0,1,334,N,2,2,2,2
29,48-02507,75,1,N,0,1,2,4,1,2,3904.0,N,3,N,N,373,N,2,2,2,2
30,48-02507,9,2,1,0,1,3,7,1,2,1216.0,11,7,23600.0,8,123,N,2,2,2,2
31,48-02515,72,2,1,0,1,0,2,1,1,1984.0,14,9,42700.0,9,501,N,2,2,2,2
32,48-02102,84,2,1,0,1,1,3,1,2,448.0,14,5,51500.0,4,321,N,2,2,2,2
33,48-02101,13,2,N,0,2,1,3,2,1,448.0,N,3,N,N,307,1,N,N,2,2
34,48-02102,86,2,6,0,8,1,3,1,1,448.0,6,7,41600.0,2,139,N,2,2,2,2
35,48-02510,6,1,N,1,1,0,3,1,1,2752.0,N,3,N,N,501,6,2,2,2,2
36,48-02516,63,1,6,0,1,3,6,1,1,1216.0,9,9,8590.0,6,132,N,2,2,2,2
37,48-02101,39,2,N,1,1,0,4,1,2,448.0,N,6,N,N,391,N,2,2,2,2
38,48-02515,68,1,1,0,1,0,2,1,1,1984.0,N,5,75300.0,2,359,N,2,2,2,2
39,48-02507,37,2,N,0,1,0,3,1,1,3904.0,N,2,N,N,501,N,N,N,2,2
40,48-02510,58,2,1,1,1,0,2,1,1,3136.0,6,6,72100.0,9,501,N,2,2,2,2
41,48-02101,61,1,1,0,1,2,3,1,2,448.0,12,10,130000.0,6,378,N,2,2,2,2
42,48-02101,18,1,6,0,1,1,3,1,1,448.0,7,5,0.0,0,268,N,2,2,2,2
43,48-02507,64,2,6,0,1,0,3,1,1,3904.0,N,5,0.0,0,501,N,2,2,2,2
44,48-02102,77,1,6,0,1,2,3,1,1,448.0,6,8,157200.0,3,200,N,2,2,2,2
45,48-02510,40,1,1,0,1,2,4,1,1,3136.0,4,7,344000.0,8,501,N,2,2,2,2
46,48-02507,40,1,1,0,1,0,7,1,1,3904.0,9,N,27100.0,9,501,N,2,2,2,2
47,48-02101,85,2,5,0,1,0,2,1,1,448.0,11,8,10400.0,7,229,N,2,2,2,2
48,48-02101,50,2,1,0,1,2,3,1,2,448.0,12,5,4600.0,6,501,N,2,2,2,2
49,48-02515,25,1,N,0,1,3,5,1,1,1984.0,N,3,N,N,277,N,2,2,2,2
50,48-02510,74,1,1,1,1,0,2,1,1,3136.0,10,9,3100.0,9,501,N,2,2,2,2
51,48-02507,25,1,6,0,1,2,4,1,1,3904.0,N,5,275000.0,1,N,N,2,2,2,2
52,48-02101,48,1,1,1,1,7,7,1,1,448.0,7,1,22300.0,2,486,N,2,2,2,2
53,48-02507,53,1,1,1,6,0,3,1,1,3904.0,6,1,127000.0,2,501,N,2,2,2,2
54,48-02102,72,2,4,0,1,1,4,1,1,448.0,6,7,26650.0,3,94,N,2,2,2,2
55,48-02101,34,1,3,0,1,0,6,1,1,448.0,N,3,N,N,501,N,N,N,2,2
56,48-02102,17,1,4,0,2,1,3,1,1,448.0,9,7,76300.0,6,382,N,2,2,2,2
57,48-02507,25,1,N,0,1,11,6,1,2,3904.0,N,3,N,N,208,N,2,2,2,2
58,48-02510,32,2,N,0,1,1,4,1,2,3136.0,N,3,N,N,263,N,2,2,2,2
59,48-02515,58,1,6,1,1,2,4,1,2,1984.0,10,6,60200.0,4,175,N,2,2,2,2
60,48-02101,80,1,6,0,1,0,2,1,1,448.0,7,5,28500.0,4,16,N,2,2,2,2
61,48-02102,53,1,1,0,1,1,3,1,1,448.0,5,5,33500.0,9,501,N,2,2,2,2
62,48-02102,80,2,1,1,1,6,6,1,1,448.0,12,5,200300.0,5,9,N,2,2,2,2
63,48-02101,76,1,6,0,1,3,5,1,1,448.0,N,8,0.0,0,164,N,2,2,2,2
64,48-02101,48,2,N,0,1,7,3,1,1,448.0,N,1,N,N,501,N,2,2,2,2
65,48-02507,57,2,N,0,1,1,4,1,2,3904.0,N,3,N,N,156,N,2,2,2,2
66,48-02101,55,2,1,0,1,2,5,1,1,448.0,6,7,89400.0,2,468,N,2,2,2,2
67,48-02101,71,2,N,0,1,0,3,1,1,448.0,N,3,N,N,501,N,2,2,2,2
68,48-02102,11,1,1,0,1,0,2,1,1,448.0,7,12,557000.0,3,226,N,2,2,2,2
69,48-02101,30,1,6,0,1,1,5,1,1,448.0,N,4,0.0,0,287,N,2,2,2,2
70,48-02101,72,2,N,0,6,0,5,1,1,448.0,N,3,N,N,264,N,2,2,2,2
71,48-02507,44,1,3,0,1,11,6,1,1,3904.0,10,6,12700.0,7,501,N,2,2,2,2
