,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,47,0,6,2,4,0,1,501,25-02800,6,2,45,N,N,2,95,0.0
1,2,2,6,0,2,1,7,103,25-01300,1,2,22,0,2,0,429,40.0
2,20,3,1,1,4,1,1,501,25-00703,1,1,43,2,4,9,501,40.0
3,94,0,6,1,4,1,3,501,25-00503,8,1,49,0,N,6,369,0.0
4,38,0,1,1,2,1,6,141,25-01000,8,2,46,2,4,0,276,0.0
5,68,0,1,0,6,2,6,68,25-00703,2,1,38,2,4,6,374,20.0
6,24,0,3,0,3,1,6,165,25-00503,6,1,83,0,2,6,501,40.0
7,88,0,6,2,2,2,3,101,25-00503,2,1,25,1,3,7,373,0.0
8,31,4,1,2,7,2,8,501,25-00503,1,1,38,2,4,8,501,60.0
9,56,0,6,0,3,1,9,501,25-00503,9,2,16,2,4,0,501,20.0
10,47,4,2,0,5,1,3,501,25-02800,1,2,24,0,4,2,501,40.0
11,0,0,3,1,3,1,5,501,25-00703,2,2,52,0,4,6,478,0.0
12,34,0,1,0,2,1,0,501,25-01000,8,1,47,2,4,7,276,0.0
13,18,0,6,0,N,2,7,501,25-01000,9,1,17,1,2,1,344,0.0
14,57,2,4,0,N,2,9,501,25-00703,1,1,56,0,2,2,123,20.0
15,38,0,6,1,3,1,5,501,25-01000,9,2,38,0,4,5,501,60.0
16,64,2,4,0,5,2,0,477,25-00703,1,2,63,0,N,4,227,20.0
17,7,0,4,0,2,2,9,333,25-01300,6,1,52,1,2,9,501,40.0
18,52,0,3,0,5,2,3,501,25-00703,6,1,90,0,4,0,391,20.0
19,8,0,4,0,5,0,4,26,25-02800,2,2,51,N,N,1,N,0.0
20,57,2,6,2,4,1,4,461,25-00703,2,1,26,0,2,0,378,0.0
21,37,4,2,1,6,2,1,235,25-00703,1,2,28,0,2,4,309,0.0
22,39,2,1,0,2,1,6,501,25-02800,1,2,49,1,3,3,431,0.0
23,59,4,N,0,3,2,7,384,25-01000,1,2,8,5,7,N,155,0.0
24,79,0,3,0,2,1,5,501,25-01300,6,2,81,0,3,2,501,40.0
25,51,2,1,1,2,2,5,501,25-01000,1,1,58,0,2,0,62,20.0
26,49,0,2,2,2,1,9,240,25-01300,6,1,46,0,N,9,501,20.0
27,63,0,4,0,N,1,8,385,25-00703,2,1,31,0,3,7,501,20.0
28,53,0,6,1,2,2,8,182,25-01000,6,2,34,0,N,8,501,20.0
29,45,4,4,0,2,1,3,481,25-02800,9,2,44,0,N,9,501,20.0
30,70,2,1,1,N,1,0,24,25-00703,1,2,42,2,4,5,501,0.0
31,36,2,6,0,3,2,5,501,25-01000,1,2,26,0,N,4,206,20.0
32,56,1,1,4,3,1,8,420,25-02800,1,1,69,0,2,9,501,0.0
33,91,0,6,1,3,2,7,253,25-02800,6,1,25,0,4,4,212,0.0
34,69,0,4,0,2,1,5,126,25-00703,9,2,35,1,2,0,0,20.0
35,64,0,3,2,N,2,8,501,25-00503,6,1,81,0,N,0,0,20.0
36,31,0,5,0,2,2,5,501,25-00503,1,1,46,2,3,9,501,20.0
37,6,4,N,0,2,1,7,501,25-00503,1,2,11,2,4,N,501,20.0
38,28,1,6,0,5,1,8,501,25-00703,1,1,30,0,N,2,68,20.0
39,57,4,1,4,4,2,1,385,25-01000,1,1,30,5,7,5,155,0.0
40,27,0,5,0,6,1,8,501,25-02800,6,2,53,2,7,5,501,20.0
41,61,2,4,2,4,1,8,408,25-00503,1,2,50,0,2,5,234,0.0
