,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,-0.026556643689023385,0.01571573635695942,0.027835519192329013,0.0245071840893313,0.06978643152608074,-0.010070460688913412,-0.05856944235503405,0.07927955494492028,0.012774198580581831,0.3215702525419355,-0.00354633995637596,0.03730264616203051,0.004693378610030845,-0.0117488519225247,0.04051621387936359,0.021283139230239903,0.009972887688233322,0.003340292233125656
AGEP,-0.026556643689023385,0.0,-0.04237144378794059,-0.08731925865698602,0.09349923312815255,0.14268720262339385,0.35705967451943593,0.3242955960026578,0.010202790197096181,0.021156134843856263,0.011862027805526938,-0.04847708021462504,-0.30201334094473997,-0.3646515215655181,-0.087059940806795,-0.1566398477040119,-0.015369676826236633,0.1187541091566584,0.21258273978900064
SEX,0.01571573635695942,-0.04237144378794059,0.0,-0.02769614402853701,0.028794792611435464,0.013015108325906875,0.038167924409943335,0.05174473482883255,-0.034934214119110615,0.034029749829529846,-0.0028013411560148787,-0.021636739513926716,-0.014429540225811333,0.1525806926787284,0.07933518217233626,-0.006552656015808048,0.0411216528670579,-0.008352688632456693,-0.030411128992691733
MSP,0.02783551919232902,-0.08731925865698602,-0.02769614402853701,0.0,-0.01682077894567904,0.043784217744053416,0.4254615177720766,0.40276508173368913,-0.267887958171248,0.0555528981678788,-0.04963088303688519,-0.26149117799493926,-0.14686045809720377,-0.11052762796686139,0.019880537473499146,-0.13323555074815907,-0.17439886198086474,0.02894077644789062,0.032590043896000113
HISP,0.024507184089331304,0.09349923312815255,0.028794792611435468,-0.01682077894567904,-1.1102230246251565e-16,-0.10510811384710193,-0.03302693840151296,-0.012018359558756322,-0.033996606929958095,-0.06071644951268774,-0.0007096182253407413,0.012357809088184067,0.06666333263794864,0.06844403498485072,-0.002207567219612395,0.020857045939096625,-0.016063340120725127,0.005307436740983845,-0.033276191264645386
RAC1P,0.06978643152608074,0.14268720262339385,0.013015108325906875,0.043784217744053416,-0.10510811384710193,0.0,-0.07443749704511053,-0.04309430539400409,-0.04557168401632834,0.003247683325564972,-0.02959940727450064,0.03227811948910023,0.025102349508089608,0.06783740819878288,0.004973976364156409,-0.0028022727304612173,-0.054450221479326155,-0.0548991536328754,-0.05885032316113245
NOC,-0.010070460688913407,0.35705967451943593,0.03816792440994334,0.4254615177720766,-0.033026938401512954,-0.07443749704511052,0.0,-0.6560411152614191,0.440467849128757,-0.16225199012621175,0.05830576988448552,0.15230609457462022,0.16423713450170363,0.13430938216827162,0.04083019932980778,0.008477431851358592,0.013684261737042657,-0.09432057919687026,-0.12606119279991648
NPF,-0.05856944235503405,0.3242955960026578,0.05174473482883255,0.4027650817336892,-0.012018359558756322,-0.04309430539400408,-0.6560411152614192,0.0,0.32290130760158187,-0.0008590208272745484,0.012759129229445207,0.0710189432181667,0.1590928580565508,0.14225855276487304,0.03842187828647661,0.010608345451454632,-0.027719676955488326,-0.08015690307900346,-0.08960872113276197
HOUSING_TYPE,0.07927955494492028,0.010202790197096183,-0.034934214119110615,-0.26788795817124794,-0.03399660692995809,-0.04557168401632835,0.440467849128757,0.3229013076015819,-1.1102230246251565e-16,0.5517339295133245,-0.04299534781170962,0.027205848048953735,0.042738277302062325,0.14665181637985442,-0.0034516728606299564,0.1730456477787401,0.10600275095294803,0.06325213419987022,0.03501921778771491
OWN_RENT,0.012774198580581831,0.021156134843856263,0.034029749829529846,0.0555528981678788,-0.06071644951268773,0.003247683325564972,-0.16225199012621178,-0.0008590208272745485,0.5517339295133245,-1.1102230246251565e-16,-0.01884427012130952,-0.01974222114364789,-0.009145743430317037,-0.029094564733426864,0.006056725748792844,-0.04713781225167839,0.015796533376205908,-0.048501824458781075,0.010413681016054631
DENSITY,0.3215702525419355,0.011862027805526936,-0.002801341156014879,-0.04963088303688519,-0.0007096182253407482,-0.029599407274500653,0.05830576988448552,0.012759129229445207,-0.04299534781170962,-0.018844270121309507,0.0,-0.016315384473493205,-0.03927977954275709,-0.019829034120592823,0.03875154377556458,-0.0035128260337700685,0.004610411666679463,-0.0027340337097806885,0.0019644682050680325
INDP_CAT,-0.003546339956375962,-0.048477080214625046,-0.021636739513926716,-0.26149117799493926,0.012357809088184067,0.03227811948910023,0.15230609457462022,0.0710189432181667,0.027205848048953735,-0.01974222114364789,-0.01631538447349321,0.0,-0.3526628219239983,-0.33927063763685156,0.013378135531317774,-0.2686692208426335,-0.27246060412061046,-0.08031407542394031,-0.10893606791208821
EDU,0.03730264616203051,-0.30201334094473997,-0.014429540225811333,-0.14686045809720374,0.06666333263794863,0.025102349508089608,0.1642371345017036,0.15909285805655082,0.042738277302062325,-0.00914574343031704,-0.0392797795427571,-0.3526628219239982,0.0,-0.547578539176187,-0.037807537029099156,-0.2714819364588493,-0.24652754317268477,-0.0005369926447272022,-0.027601451638377624
PINCP_DECILE,0.004693378610030847,-0.36465152156551817,0.1525806926787284,-0.11052762796686137,0.06844403498485072,0.06783740819878288,0.1343093821682716,0.14225855276487304,0.14665181637985442,-0.029094564733426864,-0.019829034120592823,-0.33927063763685156,-0.547578539176187,2.220446049250313e-16,-0.03010905148334122,-0.27978705747511023,-0.22431063779194246,-0.026488334984921123,0.0005333375973044168
DVET,-0.011748851922524705,-0.087059940806795,0.07933518217233626,0.019880537473499146,-0.002207567219612395,0.00497397636415641,0.04083019932980778,0.03842187828647661,-0.0034516728606299573,0.006056725748792844,0.03875154377556457,0.013378135531317772,-0.037807537029099156,-0.03010905148334122,0.0,-0.00045134675274743647,0.04622258644713291,0.05008423729301065,0.1336593653113854
DREM,0.04051621387936359,-0.1566398477040119,-0.006552656015808048,-0.13323555074815907,0.020857045939096618,-0.002802272730461219,0.008477431851358592,0.010608345451454634,0.17304564777874007,-0.04713781225167839,-0.0035128260337700667,-0.2686692208426335,-0.2714819364588493,-0.2797870574751103,-0.00045134675274743647,2.220446049250313e-16,-0.6473127267880469,-0.09675664802878678,-0.113418786020067
DPHY,0.021283139230239903,-0.01536967682623663,0.0411216528670579,-0.17439886198086477,-0.016063340120725123,-0.054450221479326155,0.013684261737042657,-0.027719676955488326,0.10600275095294803,0.015796533376205908,0.004610411666679463,-0.27246060412061046,-0.24652754317268477,-0.22431063779194244,0.04622258644713291,-0.6473127267880467,2.220446049250313e-16,-0.1245201973994361,-0.15582903890629493
