,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,-7.549516567451064e-15,-0.002958262361259692,0.006903707345977555,0.033606375276925504,0.024596817169069744,0.06181549384060881,-0.002110650033296465,-0.06698079935853944,0.09730548149012554,0.015071631547630356,0.1869237015837824,0.01251041880040242,0.045152690049086466,-0.012722637780137271,-0.02043708122739325,0.03232188589555503,0.026593497388552642,-0.0017850085199998516,0.007899221632310431
AGEP,-0.002958262361259692,-6.661338147750939e-16,-0.052974062802300007,-0.06312933366173666,0.09217165793925969,0.15137016871331907,0.46383601188997314,0.3590315175671048,0.06255705760142125,0.008734254764738363,0.004836069175672784,-0.08769616751709967,-0.46765036915701885,-0.4908671780050209,-0.07398601681706041,-0.299201224255069,-0.2329683413899146,0.13265642295924537,0.24994759624794222
SEX,0.006903707345977555,-0.052974062802300007,0.0,-0.05019776443061742,0.017755719140242494,-0.0002981355623734236,0.023549154390418957,0.058832783516633985,-0.031298096459585915,0.024606778606435023,-0.01566893650559458,-0.019829271037332404,-0.026446423752084763,0.1403483033633285,0.06942581102250489,-0.011792802280650412,0.025571454846752675,-0.0008046234165434152,-0.04052285600614991
MSP,0.033606375276925504,-0.06312933366173666,-0.05019776443061742,-3.6637359812630166e-15,-0.009351332839187845,0.020852615785868105,0.4229676479526853,0.48171360093389,-0.29556270525256645,0.061565973446477365,-0.046143953122027716,-0.2829110799134104,-0.2074340429497206,-0.10515622572780488,0.008164613151150482,-0.23052382673244448,-0.24368406139754967,0.023656546264472195,0.021784666223368082
HISP,0.024596817169069744,0.09217165793925969,0.017755719140242494,-0.009351332839187845,0.0,-0.15070147888161417,-0.025850725145416094,-0.014612130850447345,-0.059066110843120086,-0.0607196386576108,-0.03620113894662143,-0.022107499839314114,0.07730745586604643,0.08968646826855631,-0.0015344496120556785,0.0094799210257748,0.005016006224043265,0.0016667207332310401,0.0023877966982392834
RAC1P,0.06181549384060881,0.15137016871331907,-0.0002981355623734236,0.020852615785868105,-0.15070147888161417,0.0,-0.07579387375670647,-0.04846068880140599,-0.038780376911845924,-0.032390409304340555,-0.0692860011746876,0.06330590063587838,0.02859001276972368,0.07917753504675153,0.010838412589405964,0.029191168810451865,-0.008830455374319021,-0.06175893848788807,-0.03661718952900258
NOC,-0.002110650033296465,0.46383601188997314,0.023549154390418957,0.4229676479526853,-0.025850725145416094,-0.07579387375670647,-3.885780586188048e-15,-0.6607554025071615,0.37347988601534865,-0.1922891712551309,0.07512883949223119,0.17132575986815327,0.29855954997987116,0.23858796834168766,0.052836004483784164,0.17473612089640742,0.1556900524632351,-0.07843928668641612,-0.10381859910577247
NPF,-0.06698079935853944,0.3590315175671048,0.058832783516633985,0.48171360093389,-0.014612130850447345,-0.04846068880140599,-0.6607554025071615,0.0,0.39748363995272623,-0.035205802765650676,0.07448956907073945,0.0985303318078101,0.2139410537325303,0.16812196250624836,0.044087539000340036,0.09482628683187802,0.08380097699347745,-0.11111692006057663,-0.11344829989845409
HOUSING_TYPE,0.09730548149012554,0.06255705760142125,-0.031298096459585915,-0.29556270525256645,-0.059066110843120086,-0.038780376911845924,0.37347988601534865,0.39748363995272623,0.0,0.5803282816214947,-0.03356989723063981,-0.0011658351503195418,0.04280114620870332,0.20076295916328862,0.002085649778316911,0.007559884858312344,-0.017401801101459807,0.02659935302271825,0.009299934189155807
OWN_RENT,0.015071631547630356,0.008734254764738363,0.024606778606435023,0.061565973446477365,-0.0607196386576108,-0.032390409304340555,-0.1922891712551309,-0.035205802765650676,0.5803282816214947,0.0,-0.08051434757588213,-0.026149883724168287,-0.017899730051690238,-0.055553310691126144,-0.004055032606546477,0.006200848748610187,0.013768353738323337,-0.03733907533555281,-0.015203653286279713
