,feature,divergence
11,INDP,43.42321534253588
22,PWGTP,10.841761868494544
23,WGTP,10.198049839454644
16,POVPIP,9.603995463519132
1,AGEP,6.533169907762178
14,PINCP,5.59219162760198
12,INDP_CAT,4.665357626262311
15,PINCP_DECILE,4.084147478882018
10,DENSITY,2.9959433268256794
7,NPF,1.5699733723176525
13,EDU,1.226517147591032
0,PUMA,1.154182046650436
6,NOC,0.8916176424656367
3,MSP,0.6552378900063862
5,RAC1P,0.6226072837195396
4,HISP,0.27811457531126194
17,DVET,0.2721095518221865
9,OWN_RENT,0.17483065671289155
2,SEX,0.15356601935502256
20,DEYE,0.05912531044264011
8,HOUSING_TYPE,0.05313083211971304
18,DREM,0.03442156105794265
21,DEAR,0.03224255302404281
19,DPHY,0.020188511283190047
