SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,1,1,1,0,6,28,1,N,2,8007
1,1,1,1,0,7,47,1,N,2,8451
1,6,9,1,1,N,42,1,N,2,7171
1,1,1,1,7,7,42,1,N,2,7416
1,N,1,1,9,3,11,1,N,2,9061
1,1,1,1,0,11,30,1,N,2,3497
1,4,2,1,7,N,61,1,N,1,8149
1,6,2,1,1,7,37,1,N,2,7518
2,4,1,1,4,7,39,1,N,2,5030
2,6,1,0,1,4,31,1,N,2,6738
1,1,1,1,1,7,17,1,N,2,7917
1,1,1,1,8,7,44,1,N,2,6868
2,5,2,2,8,5,39,1,N,2,7033
1,N,2,1,2,3,32,1,N,2,8011
1,4,1,2,1,5,5,1,N,2,6776
1,N,1,1,9,3,5,1,N,2,9061
1,N,1,1,9,3,3,1,N,2,9119
1,1,1,1,1,7,28,1,N,2,1438
1,N,1,1,9,9,4,1,N,2,7565
1,N,1,1,9,3,1,1,N,2,9275
2,1,2,1,8,9,68,1,N,2,5171
2,4,1,2,6,7,14,1,N,2,6575
1,1,1,1,7,12,22,1,N,2,1601
1,1,6,1,1,5,41,1,N,2,6771
1,1,1,1,1,7,15,1,N,2,7338
2,1,2,1,1,9,39,1,N,2,7057
1,1,1,1,1,7,68,1,N,2,7284
1,1,1,1,1,7,62,1,N,2,7613
1,3,1,1,0,2,14,1,N,2,2356
1,N,1,1,9,3,9,1,N,2,8037
1,1,1,1,1,7,38,1,N,2,2590
1,N,1,1,9,4,5,1,N,2,8951
1,1,8,1,8,7,32,1,N,2,7587
1,N,1,1,7,4,5,1,N,2,7923
1,1,2,1,0,10,37,1,N,2,7893
1,N,1,1,9,3,7,1,N,2,8887
1,1,1,2,0,6,70,1,N,2,5382
1,1,6,1,7,N,63,1,N,2,7601
1,4,1,1,1,10,65,1,N,2,7698
1,1,1,1,0,7,38,1,2,2,6953
1,N,9,1,9,4,3,1,N,2,7662
1,4,1,1,0,7,18,1,N,2,1472
1,4,1,1,0,7,21,1,N,2,1064
1,4,1,1,0,7,36,1,N,2,7454
1,4,1,1,1,7,65,1,N,2,7635
1,2,6,1,0,N,61,1,N,2,7431
1,1,1,1,1,7,28,1,N,2,7489
1,1,1,1,0,7,26,1,N,2,8623
1,4,1,1,1,11,25,1,N,2,7789
1,1,1,1,1,10,40,1,N,2,7495
1,4,1,1,0,10,32,1,N,1,9058
1,1,1,1,1,9,59,1,N,2,7380
1,N,2,1,1,9,76,1,N,2,888
1,1,1,1,1,11,41,1,N,2,904
2,1,1,1,0,9,47,1,N,2,6487
1,N,1,1,9,7,0,1,N,2,7550
1,1,2,1,6,7,55,1,N,2,598
