,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,-3.219646771412954e-15,0.20239186693484082,-0.09599467603625919,0.09904386775536872,0.029687092943062973,0.051534198891265606,-0.14314046664373986,-0.14249819717478207,-0.08036901314032485,0.18157705902532545
AGEP,0.20239186693484082,-5.551115123125783e-15,-0.4191373037676457,0.21388875650003125,-0.009252147044920389,-0.009058021729637863,0.016609775119250214,-0.04039709673451186,-0.06313031659910695,-0.13986097226096444
SEX,-0.09599467603625919,-0.4191373037676457,-1.099120794378905e-14,-0.09191866960588087,0.16205631596183045,0.09952752502079268,0.2480573683164515,0.25601061523374735,0.0927560009484719,-0.0878287973525787
MSP,0.09904386775536872,0.21388875650003125,-0.09191866960588087,0.0,0.05064205233491328,-0.0491602208328152,-0.021419873003425904,-0.10018670269387281,-0.057376014615056925,0.0061397984795219795
HISP,0.029687092943062973,-0.009252147044920389,0.16205631596183045,0.05064205233491328,-1.4765966227514582e-14,-0.10876349027907962,-0.024574082715894577,0.023949726984063252,0.009224991694082873,0.006662525827986043
RAC1P,0.051534198891265606,-0.009058021729637863,0.09952752502079268,-0.0491602208328152,-0.10876349027907962,-2.1094237467877974e-15,0.0347642822557452,0.07328054530211137,0.07360062621319942,0.024237014694390123
NOC,-0.14314046664373986,0.016609775119250214,0.2480573683164515,-0.021419873003425904,-0.024574082715894577,0.0347642822557452,0.0,-0.2493990831025803,-0.05313456782038295,-0.010416073001215997
NPF,-0.14249819717478207,-0.04039709673451186,0.25601061523374735,-0.10018670269387281,0.023949726984063252,0.07328054530211137,-0.2493990831025803,0.0,0.036920792553102655,0.003575514411531089
OWN_RENT,-0.08036901314032485,-0.06313031659910695,0.0927560009484719,-0.057376014615056925,0.009224991694082873,0.07360062621319942,-0.05313456782038295,0.036920792553102655,6.772360450213455e-15,-0.02942746437777321
PINCP_DECILE,0.18157705902532545,-0.13986097226096444,-0.0878287973525787,0.0061397984795219795,0.006662525827986043,0.024237014694390123,-0.010416073001215997,0.003575514411531089,-0.02942746437777321,2.6645352591003757e-15
