,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.5543122344752192e-15,0.014003976797289347,0.021806030374934716,-0.015503723614236367,0.007929351084537226,0.01684241759154695,-0.01953714482574413,-0.02117353051547933,0.02539280211636588,-0.01863395984527328,-1.7763568394002505e-15,0.04996689467993912,0.03789536468299974,-0.0199757672723239,0.017644373951171376,0.0038452420497790234,-0.0049084899776246985,-0.003679652556624547,0.01013942014406636
AGEP,0.014003976797289347,-6.661338147750939e-16,0.0354009708495446,-0.01661705953835833,-0.027561392967687517,7.122618662536162e-06,0.009657078383114859,0.006247038594607013,0.012721664317393772,-0.002552803079740564,-0.014003976797289236,-0.033229171186982445,-0.19984056388511387,-0.3183834093714687,-0.013270199569662383,-0.009407692910473053,-0.024758648094425267,-0.021764144093115168,-0.025227681893261994
SEX,0.021806030374934716,0.0354009708495446,0.0,0.00043976271918050314,0.008639480374654226,-0.019569003031046535,-0.012362866160602587,0.007766068977796539,0.01435005228413629,-0.02824089979979861,-0.021806030374934546,0.08107422080702854,-0.040573653171858626,-0.012158639478334232,0.01157417635894302,0.02282435262527534,0.012855098487709953,-0.0244678284466745,-0.026839390070305953
MSP,-0.015503723614236367,-0.01661705953835833,0.00043976271918050314,-1.9984014443252818e-15,-0.019129542285448022,-0.023678404159224294,0.011296330309172709,-0.0039022210621828535,6.971378544151641e-05,-0.0019620409860242327,0.015503723614236395,-0.1174548695093875,-0.08779320348670965,-0.2981264679673791,-0.0021217529202832205,-0.01032625454922892,-0.010467371328106323,-0.0017594082563051824,-0.01384029016738354
HISP,0.007929351084537226,-0.027561392967687517,0.008639480374654226,-0.019129542285448022,-2.220446049250313e-15,0.011459458392350519,0.011540825282222125,0.02836334085192342,-0.0114941533460706,-0.002063715910171862,-0.007929351084537205,-0.019788748701736778,0.025645656815578927,0.022101297557099053,0.0038686512984894977,-0.06116858206197211,-0.06119551001341986,-0.006991819090119471,0.0038057527961030367
RAC1P,0.01684241759154695,7.122618662536162e-06,-0.019569003031046535,-0.023678404159224294,0.011459458392350519,5.329070518200751e-15,0.02308467417001893,0.03511201548221324,-0.039470608725240885,0.026238868523562112,-0.016842417591547254,-0.005629817173955269,0.023981915539410047,0.06458014721091107,0.0071775192075491795,-0.010508460474215588,-0.00877911442990668,-0.004145440012833915,0.007895420959938913
NOC,-0.01953714482574413,0.009657078383114859,-0.012362866160602587,0.011296330309172709,0.011540825282222125,0.02308467417001893,0.0,-0.002998247471226345,0.0015424449463665724,-0.006916950760047308,0.019537144825743973,0.08737355081034295,0.1149459678558554,0.2671389187429776,0.012564761655118661,0.030271558241953822,0.02797143113726415,0.02275934862741981,0.007977407727978766
NPF,-0.02117353051547933,0.006247038594607013,0.007766068977796539,-0.0039022210621828535,0.02836334085192342,0.03511201548221324,-0.002998247471226345,2.55351295663786e-15,0.00326314955881285,0.0007607328373044758,0.02117353051547944,0.043840786507318395,0.0810433841566631,0.17324647898500406,0.002437367774199062,0.003884978821121682,0.0066241977150834075,0.004635845094504501,0.03144425312832916
HOUSING_TYPE,0.02539280211636588,0.012721664317393772,0.01435005228413629,6.971378544151641e-05,-0.0114941533460706,-0.039470608725240885,0.0015424449463665724,0.00326314955881285,1.0325074129013956e-14,-0.0007342896864135362,-0.025392802116362606,-0.0018322657719062902,0.024472042003170713,-0.07234425549844523,-0.00026678775021840573,-0.01152882529655096,-0.0029819990724493962,-0.016700808976160622,-0.010246347896675032
OWN_RENT,-0.01863395984527328,-0.002552803079740564,-0.02824089979979861,-0.0019620409860242327,-0.002063715910171862,0.026238868523562112,-0.006916950760047308,0.0007607328373044758,-0.0007342896864135362,0.0,0.018633959845273523,-0.013025460323027566,-0.013181695067801024,0.0390086512075556,0.0025584187981369556,0.0022474612365090685,-0.00027357035804245755,0.009808231675762755,-0.022661991537570425
DENSITY,-1.7763568394002505e-15,-0.014003976797289236,-0.021806030374934546,0.015503723614236395,-0.007929351084537205,-0.016842417591547254,0.019537144825743973,0.02117353051547944,-0.025392802116362606,0.018633959845273523,-8.881784197001252e-16,-0.04996689467993902,-0.03789536468299978,0.019975767272323905,-0.017644373951171466,-0.0038452420497788985,0.00490848997762474,0.003679652556624436,-0.010139420144066488
INDP_CAT,0.04996689467993912,-0.033229171186982445,0.08107422080702854,-0.1174548695093875,-0.019788748701736778,-0.005629817173955269,0.08737355081034295,0.043840786507318395,-0.0018322657719062902,-0.013025460323027566,-0.04996689467993902,-6.661338147750939e-16,-0.30777722707521343,-0.2348212307194176,0.02744751425143995,-0.14045704257775576,-0.14509530241504265,-0.0441498081876603,-0.06829151599044674
EDU,0.03789536468299974,-0.19984056388511387,-0.040573653171858626,-0.08779320348670965,0.025645656815578927,0.023981915539410047,0.1149459678558554,0.0810433841566631,0.024472042003170713,-0.013181695067801024,-0.03789536468299978,-0.30777722707521343,2.3314683517128287e-15,-0.32941648810457513,0.009238141093287008,-0.27226326593430517,-0.26135968220666494,0.0008601653210981858,0.01697352238270349
