,Target samples,Deid. samples
0,45,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,290,19
7,0,0
8,0,0
9,0,0
10,37,4
11,0,0
12,0,0
13,0,0
14,0,0
15,75,13
16,0,0
17,0,0
18,161,36
19,2555,606
20,0,0
21,676,180
22,0,0
23,0,0
24,0,0
25,0,0
26,147,51
27,0,0
28,280,107
29,0,0
30,0,0
31,413,188
32,0,0
33,4,2
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,230,146
40,0,0
41,0,0
42,0,0
43,31,23
44,1525,1216
45,0,0
46,110,94
47,0,0
48,113,103
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,3,4
57,47,65
58,0,0
59,0,0
60,0,0
61,265,416
62,0,0
63,0,0
64,0,0
65,0,0
66,126,243
67,92,187
68,102,220
69,0,0
70,0,0
71,0,0
72,0,0
73,40,107
74,34,97
75,33,97
76,0,0
77,0,0
78,0,0
79,4,15
80,0,0
81,0,0
82,29,135
83,89,430
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,45,518
93,9,120
94,4,62
95,0,0
96,8,174
97,1,28
98,5,239
99,6,1689
