,INDP,count_target,count_deidentified
13,1070,1,0.0
32,1080,2,0.0
43,1090,1,0.0
20,1170,2,0.0
12,1180,2,0.0
5,1190,6,0.0
4,1280,2,0.0
22,1370,3,0.0
9,1480,2,0.0
39,1691,1,0.0
34,1770,1,0.0
41,1790,1,0.0
29,1870,1,0.0
38,1880,1,0.0
25,1990,7,0.0
31,2180,1,0.0
1,2190,18,0.0
30,2270,1,0.0
44,2280,1,0.0
21,2290,5,0.0
19,2370,4,0.0
33,2470,1,0.0
40,2480,1,1.0
16,2490,1,1.0
24,2870,2,0.0
35,2880,7,0.0
7,2980,2,0.0
42,3080,1,1.0
2,3095,1,3.0
8,3291,11,2.0
15,3365,4,0.0
17,3370,2,0.0
3,3380,22,0.0
11,3390,34,0.0
10,3470,1,1.0
23,3490,9,0.0
28,3570,3,0.0
0,3580,14,1.0
26,3680,1,0.0
37,3875,1,1.0
27,3895,6,0.0
6,3960,13,0.0
36,3970,1,0.0
14,3980,5,0.0
18,3990,2,0.0
