,feature,divergence
21,WGTP,1.7595743091131761
20,PWGTP,1.6156314273961336
1,AGEP,1.0802884766793686
13,PINCP_DECILE,0.5163948279601254
12,EDU,0.4664943303664848
7,NPF,0.34070506707355824
11,INDP_CAT,0.3374173764705478
14,POVPIP,0.0989406350391007
3,MSP,0.09366254076405435
6,NOC,0.057494304900572675
2,SEX,0.047713097889817147
17,DPHY,0.01527757904451306
9,OWN_RENT,0.015026892460647652
4,HISP,0.011511582397368318
16,DREM,0.011224306222598748
19,DEAR,0.008546031904691047
18,DEYE,0.008082994472350644
8,HOUSING_TYPE,0.006956739750570982
5,RAC1P,0.005798488489776497
15,DVET,0.002748689929698832
10,DENSITY,0.0
0,PUMA,0.0
