,feature,divergence
22,PWGTP,7.708845871110022
23,WGTP,3.9688441639661156
1,AGEP,1.827948266625851
14,PINCP,1.41156814888682
16,POVPIP,1.0598577791669925
15,PINCP_DECILE,1.0597084409967659
13,EDU,0.7511552520863508
11,INDP,0.6535920311866269
12,INDP_CAT,0.3528158797451058
7,NPF,0.3076279117689989
6,NOC,0.25560087973945306
4,HISP,0.254424603572587
9,OWN_RENT,0.2214234421384011
10,DENSITY,0.19693510723719865
0,PUMA,0.19693510723719865
3,MSP,0.17092158345940492
5,RAC1P,0.1491766310048248
8,HOUSING_TYPE,0.072215236872715
2,SEX,0.06355767644333887
18,DREM,0.0544477965941046
19,DPHY,0.05271044800232051
21,DEAR,0.009194903620653803
17,DVET,0.004277853794870302
20,DEYE,0.0011996324036553166
