,Target samples,Deid. samples
0,50,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,13,4
25,3,1
26,0,0
27,8,3
28,0,0
29,0,0
30,0,0
31,33,15
32,0,0
33,2,1
34,40,21
35,0,0
36,0,0
37,26,15
38,0,0
39,57,37
40,0,0
41,0,0
42,7,5
43,0,0
44,345,275
45,641,523
46,0,0
47,4411,3939
48,2209,2063
49,1885,1822
50,1237,1234
51,12664,13016
52,2068,2211
53,0,0
54,1308,1539
55,0,0
56,0,0
57,25,34
58,0,0
59,0,0
60,0,0
61,0,0
62,30,48
63,88,149
64,0,0
65,45,83
66,0,0
67,0,0
68,45,94
69,0,0
70,0,0
71,6,15
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,1,5
84,0,0
85,0,0
86,2,12
87,4,27
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,62
