,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,8.659739592076221e-15,0.008581734984482491,-0.0030715087272523943,0.03200404996019897,0.02728755577818317,-0.037658371108217265,0.03189410228218154,0.019261261332681592,0.03158249111665429,0.03970218106369089
AGEP,0.008581734984482491,1.3322676295501878e-15,-0.04268150369068966,0.1252568311603712,0.05092391190104163,-0.0006441723495767132,-0.23046986860975804,-0.27298544434830596,-0.1705323805602828,0.1616345956937097
SEX,-0.0030715087272523943,-0.04268150369068966,-4.884981308350689e-15,0.06722716160662764,0.033310978294844605,0.008376962694876769,-0.010201056873931053,-0.0283776325483689,-0.002595656677714494,-0.03966868866363103
MSP,0.03200404996019897,0.1252568311603712,0.06722716160662764,-6.661338147750939e-16,-0.000789545933746999,0.05232136871916956,0.28182247368262986,0.5696819980814158,0.0768886101361861,-0.026037679778943987
HISP,0.02728755577818317,0.05092391190104163,0.033310978294844605,-0.000789545933746999,2.220446049250313e-15,0.011718936072649833,0.00712813256695247,0.019065184869416857,0.07208725571248249,0.01985665009142107
RAC1P,-0.037658371108217265,-0.0006441723495767132,0.008376962694876769,0.05232136871916956,0.011718936072649833,0.0,-0.004203947639069339,0.01379894477767906,0.033735952271607514,0.005164652254547181
NOC,0.03189410228218154,-0.23046986860975804,-0.010201056873931053,0.28182247368262986,0.00712813256695247,-0.004203947639069339,-1.1102230246251565e-16,-0.008330752546166775,-0.20389988905278206,-0.13103935385363355
NPF,0.019261261332681592,-0.27298544434830596,-0.0283776325483689,0.5696819980814158,0.019065184869416857,0.01379894477767906,-0.008330752546166775,1.5543122344752192e-15,-0.041725827953745125,-0.11840344108459194
OWN_RENT,0.03158249111665429,-0.1705323805602828,-0.002595656677714494,0.0768886101361861,0.07208725571248249,0.033735952271607514,-0.20389988905278206,-0.041725827953745125,0.0,-0.20324240694789242
PINCP_DECILE,0.03970218106369089,0.1616345956937097,-0.03966868866363103,-0.026037679778943987,0.01985665009142107,0.005164652254547181,-0.13103935385363355,-0.11840344108459194,-0.20324240694789242,0.0
