PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
13-04600,66,2,1,0,1,0,N,1,1,3600.5,7860,11,10,8000.0,2,501,N,2,2,2,2,47,73
51-01301,73,1,1,0,1,0,3,1,1,11185.2,6970,9,9,552000.0,6,501,N,2,2,2,2,34,51
36-04010,66,2,6,0,2,N,N,2,0,50558.1,N,N,10,65500.0,7,N,N,2,2,2,2,52,47
17-03531,68,2,1,0,2,0,4,1,1,11190.9,N,N,1,39900.0,6,429,N,2,2,2,2,56,44
40-00200,25,2,1,0,1,1,3,1,1,3530.9,7860,10,9,60000.0,7,501,N,2,2,2,2,68,68
13-04600,33,1,6,0,1,0,N,1,2,3975.4,770,3,5,40000.0,6,285,N,2,2,2,2,105,116
38-00100,87,2,3,0,1,0,N,1,1,47.7,N,N,5,9600.0,2,72,N,2,1,2,2,22,25
13-04600,32,2,1,0,2,0,2,1,2,5487.8,8191,12,9,70000.0,6,501,N,2,2,2,2,121,95
13-04600,72,1,1,0,1,0,3,1,1,3891.4,N,N,9,100000.0,8,501,N,2,2,2,2,59,40
06-07502,67,2,1,0,1,0,2,1,1,11209.6,7860,10,9,50000.0,6,501,N,2,2,2,2,214,253
08-00803,46,1,1,0,1,1,3,1,1,20.4,3390,4,9,52090.0,7,501,N,2,2,2,2,288,361
29-01901,78,2,1,0,2,0,3,1,1,4822.6,8191,12,7,69000.0,8,501,N,2,2,2,2,34,56
30-00600,12,2,N,0,1,1,3,1,1,36.4,N,N,3,0.0,0,0,N,2,2,2,2,90,84
36-04010,55,2,4,0,2,0,2,1,1,3176.1,8191,12,9,60000.0,6,501,N,2,2,2,2,39,77
13-04600,52,2,4,0,2,0,3,1,1,4892.4,6370,16,7,32000.0,5,199,N,2,2,2,2,23,20
51-01301,28,1,6,0,1,N,N,3,0,11186.7,8680,14,7,5000.0,1,38,N,2,2,2,2,116,4
06-08507,70,1,1,0,1,0,2,1,1,3318.6,N,N,9,191000.0,6,501,N,2,2,2,2,91,44
30-00600,66,1,1,0,1,0,2,1,1,3454.0,N,N,9,27960.0,7,501,N,2,2,2,2,103,116
36-04010,29,1,6,0,2,N,N,3,0,50374.1,8680,14,7,3750.0,4,N,N,2,2,2,2,67,0
17-03529,46,1,6,0,2,0,2,1,2,51493.4,7860,11,10,80000.0,8,501,N,2,2,2,2,153,203
30-00600,61,2,1,0,1,0,3,1,1,3372.3,8191,6,7,30000.0,4,501,N,2,2,2,2,48,37
06-07502,8,2,N,0,1,3,4,1,2,11190.2,N,N,3,0.0,0,501,N,2,2,2,2,293,296
19-01700,68,2,1,0,2,0,2,1,1,3579.2,8370,6,5,24000.0,3,501,N,2,2,2,2,177,170
32-00405,42,2,6,0,1,0,N,1,2,8042.8,8191,15,7,30000.0,4,228,N,2,2,2,2,58,28
38-00100,0,2,1,0,1,0,5,1,1,3522.8,N,N,1,N,2,501,N,2,2,2,2,48,29
17-03529,12,2,N,0,2,2,4,1,2,15133.6,N,N,3,0.0,0,68,N,2,2,2,2,189,161
19-01700,44,2,6,0,1,0,N,1,2,3533.9,8680,6,7,12000.0,2,91,N,2,2,2,2,101,96
32-00405,8,1,N,0,1,2,3,1,2,8013.1,N,N,N,0.0,N,501,N,N,N,2,2,74,59
17-03531,65,1,1,0,2,0,2,1,1,11174.6,6970,9,7,143300.0,6,501,N,2,2,2,2,114,111
