,INDP,count_target,count_deidentified
14,4670,53,38.0
25,4680,14,4.0
3,4690,25,4.0
17,4770,28,3.0
20,4780,3,2.0
12,4795,21,4.0
2,4870,38,3.0
27,4880,11,1.0
7,4890,13,3.0
0,4971,76,63.0
16,4972,9,2.0
22,4980,5,7.0
21,4990,2,3.0
8,5070,33,7.0
10,5080,18,2.0
15,5090,22,1.0
5,5170,26,3.0
33,5180,2,2.0
19,5190,6,3.0
9,5275,19,2.0
1,5280,2,3.0
29,5370,3,1.0
18,5381,19,3.0
11,5391,101,84.0
24,5470,4,0.0
28,5480,3,2.0
4,5490,13,2.0
30,5570,7,3.0
6,5580,39,4.0
26,5593,20,4.0
32,5670,1,2.0
31,5680,4,1.0
23,5690,11,1.0
13,5790,12,2.0
