,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,14,2,N,4,1,N,2,N,9,1,14,2,N,1,N,100.0
1,26,2,N,5,1,2,1,6,8,2,30,2,N,1,5,60.0
2,29,2,N,8,1,6,2,4,3,1,21,2,N,1,3,60.0
3,31,2,N,6,1,6,2,7,8,1,22,2,N,1,1,60.0
4,34,2,N,10,1,6,1,0,9,1,28,2,N,1,7,60.0
5,34,2,N,11,1,6,1,0,9,2,59,2,N,1,8,60.0
6,36,2,N,10,1,6,1,6,3,1,30,2,N,1,1,60.0
7,38,2,N,7,1,4,1,0,8,2,43,2,N,1,6,60.0
8,46,2,N,8,1,4,1,9,6,1,44,2,N,1,6,60.0
9,46,2,N,7,1,4,2,0,9,1,61,2,N,1,3,60.0
10,48,2,N,10,1,4,1,9,9,1,42,2,N,1,9,80.0
11,51,2,N,11,1,4,2,8,2,2,80,2,N,1,7,60.0
12,60,2,N,5,1,3,1,3,6,1,84,2,N,1,9,60.0
13,67,2,N,9,1,3,2,4,6,1,69,2,N,1,4,80.0
14,67,2,N,7,1,3,2,7,6,1,68,1,N,1,3,40.0
15,82,2,N,7,1,3,2,3,9,2,64,2,N,1,3,80.0
