,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,-2.220446049250313e-15,-0.0395001620950912,-0.08393561434820851,0.14772164942886826,0.09344857338836442,0.018621187304199417,-0.4691027841535068,-0.4938830562843473,-0.1121846871792383,0.1488288864521309
SEX,-0.0395001620950912,0.0,-0.019749143807666018,0.004489382774861009,-0.029633584730716027,0.002222743512161708,-0.014386207760114823,0.1082201926076202,0.07720584527295983,0.02402412286396674
MSP,-0.08393561434820851,-0.019749143807666018,0.0,0.05611685467182184,-0.2985078729264508,0.15394194615068912,-0.27115618464628993,-0.13866019411007938,0.03981741799000525,0.0374553402745449
RAC1P,0.14772164942886826,0.004489382774861009,0.05611685467182184,-1.532107773982716e-14,-0.02995363697575025,-0.0104304900410404,0.0364177458748146,0.0724663196588404,-0.008614829115042895,-0.033413550740678984
HOUSING_TYPE,0.09344857338836442,-0.029633584730716027,-0.2985078729264508,-0.02995363697575025,-7.549516567451064e-15,0.5644367891570263,0.04485536246775903,0.1886008983900814,0.003127792433640416,0.05181577747553539
OWN_RENT,0.018621187304199417,0.002222743512161708,0.15394194615068912,-0.0104304900410404,0.5644367891570263,-1.3877787807814457e-14,-0.03551051879995015,-0.10311066305682576,-0.010971989576035492,-0.023924989608970815
EDU,-0.4691027841535068,-0.014386207760114823,-0.27115618464628993,0.0364177458748146,0.04485536246775903,-0.03551051879995015,0.0,-0.6641790723440965,-0.019230222774334105,-0.022629976030665036
PINCP_DECILE,-0.4938830562843473,0.1082201926076202,-0.13866019411007938,0.0724663196588404,0.1886008983900814,-0.10311066305682576,-0.6641790723440965,8.881784197001252e-16,-0.04799042112147231,-0.01513285372850768
DVET,-0.1121846871792383,0.07720584527295983,0.03981741799000525,-0.008614829115042895,0.003127792433640416,-0.010971989576035492,-0.019230222774334105,-0.04799042112147231,0.0,0.0037376845603262245
DEYE,0.1488288864521309,0.02402412286396674,0.0374553402745449,-0.033413550740678984,0.05181577747553539,-0.023924989608970815,-0.022629976030665036,-0.01513285372850768,0.0037376845603262245,1.176836406102666e-14
