,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,27,1,1,6,0,4,2,9,232,51-51255,8,2,26,2,1,3,6,341,0.0
1,23,2,0,6,2,2,2,2,23,06-07502,7,1,21,2,0,6,2,86,33.33333333333333
2,49,2,0,N,0,3,1,4,48,28-01100,6,1,4,2,3,7,N,105,16.666666666666664
3,36,2,0,N,0,2,1,7,360,06-08507,8,2,11,2,2,4,N,501,16.666666666666664
4,13,2,1,1,2,N,2,1,234,26-02702,1,1,47,2,1,3,8,345,16.666666666666664
5,75,1,4,4,2,2,2,3,236,51-51255,1,2,64,2,2,4,4,174,16.666666666666664
6,18,2,2,1,3,4,2,2,83,06-08507,1,1,42,2,2,6,9,501,16.666666666666664
7,16,2,1,5,5,4,1,1,219,30-00600,1,2,41,2,0,3,6,475,16.666666666666664
8,36,2,2,4,0,5,1,9,346,36-04010,2,1,77,2,0,N,2,53,33.33333333333333
9,51,2,4,6,0,2,2,6,484,24-01004,2,2,37,2,0,N,2,83,33.33333333333333
10,32,2,1,N,0,11,1,4,297,26-02702,1,1,4,2,2,4,N,501,16.666666666666664
11,29,2,0,4,4,8,1,1,107,38-00100,3,2,61,2,0,N,1,32,33.33333333333333
12,17,2,3,6,1,2,2,5,0,36-04010,2,2,30,2,1,2,2,37,50.0
13,29,2,1,4,0,3,2,5,45,17-03529,1,2,27,2,3,4,3,63,16.666666666666664
14,39,2,0,4,0,2,1,5,187,08-00803,9,2,74,2,0,N,4,227,33.33333333333333
15,56,2,0,2,0,N,1,8,206,32-00405,3,1,55,2,0,5,4,370,33.33333333333333
16,25,2,0,4,0,2,2,2,261,32-00405,9,2,66,1,0,3,0,159,16.666666666666664
17,54,2,1,6,0,3,2,4,467,06-08507,1,1,37,2,0,2,2,48,33.33333333333333
18,22,2,1,2,3,6,2,6,401,36-03710,1,2,58,2,0,5,0,297,16.666666666666664
19,22,2,1,6,0,3,2,4,37,51-51255,1,1,53,2,0,N,7,456,33.33333333333333
20,15,2,0,1,3,3,2,3,0,36-04010,8,2,71,2,0,2,6,455,16.666666666666664
21,76,2,1,1,0,6,1,6,303,30-00600,3,1,65,2,0,6,3,199,50.0
22,16,2,0,N,1,4,1,0,131,06-08507,2,2,13,2,1,5,N,501,33.33333333333333
23,61,2,0,3,0,5,2,5,231,32-00405,6,1,68,1,0,N,3,146,16.666666666666664
24,57,2,2,1,0,2,2,1,116,32-00405,2,1,27,2,3,5,1,3,33.33333333333333
25,33,2,4,6,0,2,2,6,359,28-01100,1,1,19,2,0,N,4,121,33.33333333333333
26,68,2,0,2,0,2,1,6,398,13-04600,6,1,50,2,2,9,4,199,16.666666666666664
27,51,2,0,5,3,2,2,8,137,32-00405,6,1,50,1,0,N,0,0,0.0
28,67,2,4,4,0,6,2,6,227,36-03710,2,1,44,2,0,3,0,44,33.33333333333333
29,59,2,4,1,0,2,1,4,54,36-03710,2,2,50,2,0,2,4,298,66.66666666666666
30,51,2,4,1,0,N,2,6,N,36-03710,9,2,39,2,0,2,3,140,33.33333333333333
31,23,2,0,2,0,4,1,1,177,13-04600,6,2,48,2,2,9,4,199,16.666666666666664
32,78,2,2,1,5,4,1,3,48,17-03529,8,2,32,2,2,4,8,501,33.33333333333333
33,50,2,2,1,5,5,1,2,123,51-01301,1,1,68,2,0,2,8,501,16.666666666666664
34,27,2,0,2,0,3,1,0,226,38-00100,3,2,42,2,0,2,7,501,33.33333333333333
35,26,2,0,N,0,6,0,1,257,36-03710,2,2,3,2,N,N,N,N,16.666666666666664
36,59,2,0,3,1,N,2,4,332,51-01301,9,2,51,2,0,N,8,501,33.33333333333333
37,46,2,0,4,0,4,2,8,234,24-01004,9,1,84,2,0,N,7,501,33.33333333333333
38,44,2,2,1,1,2,2,5,176,51-01301,1,1,42,2,2,4,7,282,16.666666666666664
39,30,2,2,6,3,4,2,6,157,17-03531,2,1,40,2,2,3,5,172,16.666666666666664
40,93,2,4,1,1,3,2,6,177,51-01301,1,2,25,2,0,2,8,501,16.666666666666664
41,29,2,1,N,1,2,1,5,231,30-00600,1,2,11,2,2,4,N,501,16.666666666666664
42,1,2,2,1,4,2,2,4,48,29-01901,1,2,34,2,0,2,9,501,33.33333333333333
43,19,2,4,1,2,5,1,4,318,01-01301,1,1,49,2,0,2,6,199,16.666666666666664
44,17,2,1,N,1,2,2,5,304,24-01004,1,2,12,2,2,4,N,466,16.666666666666664
45,27,2,2,6,0,2,1,7,33,36-03710,1,2,51,2,0,2,6,501,50.0
46,20,2,1,N,0,2,2,4,429,51-51255,1,2,4,2,2,4,N,501,16.666666666666664
47,67,2,0,3,2,3,2,2,319,24-01004,6,2,87,2,0,N,2,117,33.33333333333333
48,83,2,0,5,2,5,2,7,348,24-01004,3,2,76,2,0,N,3,146,16.666666666666664
49,72,2,1,1,N,6,2,4,389,51-51255,8,2,36,2,0,2,8,501,16.666666666666664
50,59,2,0,2,0,N,2,4,490,36-04010,9,2,44,2,1,3,7,489,16.666666666666664
51,40,2,4,3,1,5,1,0,316,36-04010,2,2,67,2,0,3,8,501,16.666666666666664
52,15,2,0,4,0,3,2,3,263,29-01901,9,2,65,1,0,N,4,156,16.666666666666664
53,91,2,0,5,0,N,1,4,234,06-08507,9,2,57,2,0,2,9,501,33.33333333333333
54,36,2,0,1,0,3,1,4,466,08-00803,7,1,66,1,0,2,6,466,33.33333333333333
55,48,2,1,1,0,3,1,0,140,24-01004,8,2,42,2,0,2,6,501,33.33333333333333
56,66,2,4,5,3,2,2,7,312,24-01004,1,2,27,2,0,N,5,361,16.666666666666664
57,39,2,1,4,6,4,2,2,342,40-00200,1,2,33,2,0,5,4,56,16.666666666666664
58,3,2,0,6,0,2,2,5,180,26-02702,3,2,22,2,0,N,4,175,33.33333333333333
59,38,2,4,6,0,N,1,3,356,13-04600,1,1,33,2,0,N,2,45,50.0
60,40,2,0,6,1,6,2,8,124,36-04010,8,1,15,2,1,3,0,0,33.33333333333333
61,55,2,0,4,0,3,2,0,501,06-07502,9,2,32,2,0,N,3,99,33.33333333333333
62,18,2,1,2,1,2,2,6,473,38-00100,9,1,36,2,0,4,3,501,16.666666666666664
63,68,2,2,4,0,3,2,0,274,51-51255,1,1,55,2,0,N,9,501,33.33333333333333
