,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,79,2,N,9,1,4,2,2,6,2,53,2,N,1,3,60.0
1,48,2,N,10,1,6,1,5,8,1,39,2,N,1,9,60.0
2,68,2,N,9,1,5,2,4,1,2,38,2,N,1,5,60.0
3,42,1,N,6,1,1,2,4,9,1,36,2,N,1,4,60.0
4,66,2,N,8,1,4,1,4,8,2,30,2,N,1,6,60.0
5,77,2,N,11,1,1,1,0,9,2,40,2,N,1,5,60.0
6,31,2,N,5,1,4,1,7,3,2,69,1,N,1,3,40.0
7,56,2,N,10,1,2,2,2,1,1,60,2,N,1,7,60.0
8,60,2,N,11,1,3,1,8,1,1,76,2,N,1,5,60.0
9,62,2,N,11,1,4,2,8,1,1,55,2,N,1,6,60.0
10,37,2,N,5,1,2,1,2,2,2,42,2,N,1,0,60.0
11,66,2,N,9,1,6,2,3,9,1,34,2,N,1,7,60.0
12,69,2,N,4,1,5,1,1,1,2,53,1,N,1,3,40.0
13,53,2,N,3,1,6,2,1,8,1,15,2,N,1,0,60.0
14,55,2,N,5,1,3,1,5,8,2,86,1,N,1,4,40.0
15,27,2,N,9,1,2,1,5,2,2,59,2,N,1,2,60.0
16,43,2,N,5,1,2,1,8,6,2,35,2,N,1,0,60.0
17,42,2,N,6,1,1,2,3,8,1,35,2,N,1,6,60.0
18,28,2,N,4,1,1,2,4,9,2,31,2,N,1,5,60.0
19,55,2,N,10,1,1,2,8,9,1,48,2,N,1,6,60.0
20,39,2,N,3,1,4,1,2,9,1,57,2,N,1,7,60.0
21,60,2,N,8,1,6,2,6,2,1,46,2,N,1,6,80.0
22,36,2,N,10,1,1,1,7,8,1,46,2,N,1,5,60.0
23,51,2,N,1,1,3,2,2,1,2,55,2,N,1,9,60.0
24,28,2,N,9,1,6,1,8,3,2,24,2,N,1,2,60.0
25,35,2,N,8,1,2,1,2,2,2,83,2,N,1,2,80.0
26,52,2,N,8,1,4,1,4,6,1,31,2,N,1,1,60.0
27,77,2,N,7,1,1,2,0,6,2,40,2,N,1,1,60.0
28,51,2,N,5,1,2,2,5,2,1,49,2,N,1,5,80.0
29,66,2,N,4,1,3,2,0,2,2,35,2,N,1,7,60.0
30,32,2,N,9,1,6,0,6,1,2,60,2,N,2,3,40.0
31,73,2,N,8,1,4,1,2,2,1,46,2,N,1,4,60.0
32,61,2,N,5,1,2,2,4,2,2,39,2,N,1,7,60.0
33,11,2,N,8,1,1,2,4,9,1,85,2,N,1,3,60.0
34,29,2,N,9,1,2,1,5,9,1,27,2,N,1,0,60.0
35,64,2,N,7,3,3,1,1,9,1,69,2,5,1,7,20.0
36,61,2,N,3,1,2,2,7,1,1,40,2,N,1,5,60.0
37,11,2,N,9,1,4,2,7,9,2,36,2,N,1,8,60.0
38,80,2,N,7,1,5,1,0,2,2,66,2,N,1,5,60.0
39,37,2,N,10,1,6,2,7,2,2,30,2,2,1,3,40.0
40,62,2,N,6,1,4,1,8,6,2,56,2,N,1,8,80.0
41,64,1,N,12,1,4,2,7,1,1,77,1,N,1,4,60.0
42,57,2,N,12,1,2,1,6,1,1,81,2,N,1,6,80.0
43,31,2,N,3,1,1,2,5,6,2,59,2,N,1,2,60.0
44,55,2,N,7,1,1,2,0,6,1,67,2,N,1,3,60.0
45,50,2,N,10,1,3,1,6,6,1,65,2,N,1,1,60.0
46,44,2,N,7,1,1,2,2,8,1,29,2,N,1,6,60.0
